window_size_1_RMSE,Exp_w200,Exp_wAll
0.5204111849570192,0.7741981211074888,0.91912761603572
0.5014516393121896,0.8040284114537488,0.784384458050907
0.49950094103345605,0.8437054254118714,0.7863869825887516
0.4955516312946722,0.7934691101753332,0.7885621706771114
0.5132151026342426,0.775881525484208,0.7869333289965392
0.5093620179578439,0.7429313488608118,0.8266211043152891
0.5204503894529574,0.8937252087705904,0.8454493829380315
0.4741534407050949,0.7649696839542967,0.7716994130680739
0.5375195648849911,0.8914149205124617,0.9244490575841712
0.42660532342035595,0.7558598445342632,0.7075815658020052
0.4218164342788649,0.6765675092479448,0.622434667479382
0.45622367901153105,0.791758613569985,0.7250382010920658
0.4566453482551072,0.7083852381188395,0.6950753719112476
0.5870586504711577,0.8003982228309995,0.9223733487039576
0.4349616921914308,0.8414099266424659,0.8732261460587578
0.4135158052823195,0.6825911982297364,0.6508848037767665
0.43354259749844914,0.6980770692985123,0.6936805455483794
0.5060046227485617,0.8087795683560965,0.8364288129001791
0.5842881262787349,0.7708129647111522,0.7917219435527089
0.4484195324709564,0.8276960176494138,0.8009383251352227
0.42000513164721487,0.7238298519229063,0.7865776609015219
0.48937805765632986,0.7499453794876572,0.7550381244732374
0.4603979601711737,0.6733536593354826,0.6962539780798863
0.4223409474260199,0.6608969377537014,0.6297208460923521
0.5289145362337768,0.8166841801323139,0.7910349813930556
0.4476492043752125,0.7074239754957449,0.7307651330227312
0.5193389247309469,0.8812233079434689,0.8620860468794254
0.5300785943920092,0.7829698369431065,0.7757396430262381
0.4620098041485066,0.7824062217887574,0.6843102897505584
0.45616327206761687,0.7327749507865225,0.7243762410768285
0.412430070750868,0.6894569013693679,0.6449675990548772
0.44092527701349765,0.7393053179901752,0.7403115392399553
0.46168353350734215,0.8056364153135809,0.7373402916193118
0.5362235941476192,0.8619814919000001,0.9196313426514356
0.4971602752286378,0.7836682089559757,0.8866020172090943
0.4360601450258757,0.7076032003249173,0.7697713002427129
0.47757703020714587,0.7823236000728722,0.794669407910266
0.49305070065256973,0.8489180922741748,0.8654844516062038
0.449827966297742,0.735962380236119,0.7419597201958672
0.4877258628972432,0.7724764332162468,0.7872461683401761
0.4528779744978552,0.6979707741447629,0.6913423775206746
0.4739645062497685,0.7003996691325229,0.7144842810602181
0.34946948868627,0.6806200676141692,0.5963547461940749
0.49986146796810765,0.7629316754042292,0.730322072552759
0.435716999276069,0.7061368502332812,0.6708592285063618
0.5108143666503531,0.8604829497636282,0.8760134229291441
0.47746730776365065,0.8168307494869426,0.8059294128078254
0.48491671307351025,0.8878250827676492,0.9161913850164738
0.5480886236993942,0.9038050123732156,0.8514087984825658
0.5089161831822444,0.8361426392188662,0.89677749625993
0.4418434654843441,0.6700685280936122,0.7366703577950259
0.4855314680567311,0.6876293804980314,0.6962163736099133
0.486489485589974,0.7641685378000135,0.7599971411662183
0.4849454387670209,0.7362771904342453,0.788771534061722
0.5013688258288533,0.7855739647626061,0.8025258315035115
0.5105391088398633,0.8057489210303395,0.8162369108300269
0.46821655957883224,0.7840756229771894,0.7086114259732886
0.46645504839504354,0.8738806419202271,0.8603557288460065
0.44970657755340426,0.7017201693433204,0.6416448059567098
0.49061553883665954,0.7269470542132052,0.7597548201571455
0.5396345635965853,0.8485464278054746,0.8493918394918222
0.4916243411481514,0.781156571124719,0.8237303111104126
0.475804869345625,0.716906387157058,0.8154981487680323
0.5549064668491055,0.7537909147100463,0.8852697830145329
0.4912526195013976,0.7227499624501216,0.6956443053353315
0.45450865088963527,0.7769988639062752,0.828174942334554
0.5562808720304611,0.8504540956532294,0.8178535155727367
0.4698356323370392,0.7453820594902956,0.8127997379746688
0.48728002056549047,0.733407920457129,0.7778928013099525
0.4374558846839418,0.7957249931281721,0.7144443286067207
0.46766381047595756,0.7280038975531626,0.7283314278882626
0.5069029988389947,0.7522123284882791,0.7315510134659349
0.4801385417715084,0.8458053885714649,0.7561001245203124
0.45183323560699107,0.6716006223452868,0.7173220634794921
0.43898799080482476,0.7498660064098404,0.7852570193083264
0.4841417270303799,0.8254095480589047,0.83612547860746
0.46100839868496757,0.7367613504638274,0.7468606873952317
0.44287237671810453,0.6843773536831406,0.7374737867221809
0.43774254201540486,0.7623458611899433,0.6828105425176848
0.4860328549795117,0.7568658480822252,0.7561681405959986
0.5060826456366666,0.8559076002530938,0.7757862921179425
0.4403349492691357,0.802420367308896,0.7623316938279733
0.45231523997186357,0.7096974181673901,0.6592148834096071
0.5000913252335772,0.7660118804244553,0.74145985782859
0.5184627113467158,0.7415616427170284,0.8123827591311519
0.41616089899071085,0.7390008403181868,0.6849839034284433
0.44948332811431696,0.7363179316369078,0.7284808164022187
0.48982462734944654,0.7674488998679417,0.7264255224714569
0.39601925405878047,0.7314375280298431,0.6869534176445562
0.49123569712845966,0.7488466973847828,0.8183839174123001
0.4540869359054709,0.738412117817083,0.7508289225563243
0.5148827398541918,0.7407142098232029,0.791425952661799
0.49575649398336624,0.7462127754728347,0.7438516858155181
0.4660922482470895,0.7518605201304938,0.7756186656174863
0.4596786496494793,0.7878236014047131,0.8493619636013512
0.4757154139548236,0.7922202926881196,0.7033858093945881
0.46582793738737904,0.7109968242355141,0.7205083603217126
0.46420044121788095,0.7059137078432913,0.6339272419044698
0.45451137939285596,0.7841875166608964,0.7538340879914397
0.4670126941539091,0.7296764751298771,0.7340680010093484
0.48692450927821135,0.8690079223476953,0.8118358747661696
0.48383714457670446,0.7906248471112569,0.8224958084647824
0.4725267381954326,0.7145578230962479,0.7545726354485442
0.42029569897486474,0.7105904127535128,0.6991511857783358
0.4581839909411424,0.7732995159355107,0.7245041414137252
0.5023963492549791,0.8809114801000538,0.8487192649015171
0.45757885560419725,0.7955583783102331,0.7812027000488807
0.4459025400311831,0.7631156524072754,0.7130705873803938
0.48736852165656197,0.7302971839589503,0.7382940835778778
0.5200734592213297,0.8230468958078283,0.8531895827951747
0.5425196088236744,0.8320827472495371,0.7987014344194274
0.5183744800671374,0.8691378851397537,0.844472252824762
0.5377471774461219,0.7708641860022841,0.7804092539126118
0.46400778135917675,0.7786646971859489,0.8500486486230195
0.48718757747609437,0.6980294162887937,0.7457245121180159
0.4585351167577717,0.7184459646790571,0.7478096375953363
0.49391583129691824,0.758417083756347,0.7323006237381918
0.4799726411301271,0.6870244224178008,0.7102139120130184
0.4700302705745845,0.7220941477149736,0.7571943539687271
0.48540158054419436,0.7240986975046697,0.6759810612417464
0.48743272337847765,0.7414472165878274,0.7810079394284289
0.4483172301155365,0.7881067813168829,0.7217753859862671
0.41266679086426594,0.7742430811977661,0.7422631857966215
0.5328515767806565,0.7735427308385145,0.9401760862587092
0.517733140919191,0.8556326271454711,0.9062705504737631
0.4638445622503808,0.7556627783488488,0.7594341418728386
0.46574905213491374,0.7353746412786737,0.7725180574996254
0.4775257563756067,0.7016770940044584,0.7354343741076367
0.4871503957102772,0.7490856217686148,0.6542293317689931
0.4549487373047111,0.7746214414332309,0.7699983101021022
0.532794849529731,0.8972209509689065,0.8584565199136598
0.5074221330282563,0.7811542064381772,0.7128026286097007
0.46511671050258696,0.7591770979648789,0.8139763634240303
0.44431451818232576,0.7346000415149837,0.7541608910267743
0.4454105054758989,0.8151500696121944,0.8580985715937995
0.4487565785577092,0.751005420628564,0.687282825765658
0.4411207054441128,0.7809442246657485,0.7045542133416791
0.5201831427895334,0.7841078938580445,0.7364159036910449
0.45351783512760313,0.7281213814532967,0.7182080198383517
0.44845301636497525,0.7845928839510354,0.8364364527348371
0.5061876820283434,0.7287748313167087,0.7713081213400766
0.45681100503223404,0.7925530524366239,0.8148425074540014
0.50883433792084,0.7379892844722675,0.8145457007653722
0.499226944810202,0.7307552281462459,0.7175416313735004
0.4736454056811335,0.7132770846678974,0.7867381714147541
0.46905202867641393,0.7535453855650046,0.726059276370616
0.49184741953696376,0.7424719058708388,0.8676297505828872
0.4876363932141637,0.7406298296502198,0.7876233678459382
0.4609376180050249,0.7071211647341322,0.7249262712816887
0.4235574717062896,0.7113928399321785,0.6405190372510181
0.5120981176198162,0.7538092500287357,0.7818258764976097
0.515876066446889,0.8682165357664807,0.822653356076801
0.48849742568080146,0.915633332897562,0.7984815125371603
0.5058448372383646,0.834898871222201,0.8262166842810602
