window_size_1_RMSE,Plain_wAll,Exp_wAll
0.5288954018951347,1.0869731445261313,0.91912761603572
0.486932367523707,0.9929741486645196,0.784384458050907
0.49023207319733986,0.9978991106809378,0.7863869825887516
0.47300288229627924,0.8722931095653194,0.7885621706771114
0.5245256740869314,1.1003006481325328,0.7869333289965392
0.5930548252050183,1.4187727355564779,0.8266211043152891
0.5195703704965441,0.8750757322804471,0.8454493829380315
0.4627053781460974,0.8780708845399242,0.7716994130680739
0.5171195530621261,0.9527245861931088,0.9244490575841712
0.5048384204058608,1.9555538549155296,0.7075815658020052
0.431334600002405,0.8474435265349756,0.622434667479382
0.42035990424557007,0.8554153572205734,0.7250382010920658
0.4773682942620276,0.92034628535361,0.6950753719112476
0.574206602210757,0.940224173396218,0.9223733487039576
0.41680075279362,0.9968382347320696,0.8732261460587578
0.4166230521864753,0.8445414749482058,0.6508848037767665
0.4237585620503014,0.8723592803299673,0.6936805455483794
0.49870290898537584,0.8831312702247033,0.8364288129001791
0.5975458453734844,1.1262047221574194,0.7917219435527089
0.468786400726832,1.0242856663089648,0.8009383251352227
0.445683490272951,0.8742684612982168,0.7865776609015219
0.5036346931074818,0.9961221792413901,0.7550381244732374
0.4535047513859791,0.9183749196525628,0.6962539780798863
0.44853460284817187,1.037505432046235,0.6297208460923521
0.4966378543829684,1.033605513425675,0.7910349813930556
0.4556347890087896,0.9900249581322648,0.7307651330227312
0.5403188703183859,1.183685885136867,0.8620860468794254
0.5282139399844539,0.944427324718342,0.7757396430262381
0.47545921978703587,1.2733386802070252,0.6843102897505584
0.47730023964475504,0.9815123383784692,0.7243762410768285
0.41342043207944307,0.7843074361155514,0.6449675990548772
0.4362590806843509,0.9034432903812762,0.7403115392399553
0.4377367391290875,0.8887098057817141,0.7373402916193118
0.5316086754379509,0.9618849875441714,0.9196313426514356
0.4897425389512657,0.7931391696668899,0.8866020172090943
0.4486832652823165,0.9208273559363328,0.7697713002427129
0.4842189397256604,0.7762237885861443,0.794669407910266
0.48443320204108253,1.0659969979710604,0.8654844516062038
0.4749128304036229,1.1531396832156788,0.7419597201958672
0.45930969115200176,0.8955241985102238,0.7872461683401761
0.4661474667106309,0.9669672882252444,0.6913423775206746
0.4936359155399758,1.1172923989230552,0.7144842810602181
0.34924551789905933,0.9140405577097059,0.5963547461940749
0.491724958642571,0.8328020233998958,0.730322072552759
0.44349117090741885,0.9530701728710526,0.6708592285063618
0.46983309541232166,0.8255416473567131,0.8760134229291441
0.517621843918464,1.3123264810477706,0.8059294128078254
0.4495972731753534,1.02710053735388,0.9161913850164738
0.5028075036669493,0.9435478103182032,0.8514087984825658
0.49051078282052357,0.8368677886686282,0.89677749625993
0.4258659781891085,0.8327322734285836,0.7366703577950259
0.4921111126459461,1.0162581822178018,0.6962163736099133
0.46681107060938554,0.8934314637499664,0.7599971411662183
0.4747418752158618,1.0056525639446283,0.788771534061722
0.48660558691812,0.8663129334336291,0.8025258315035115
0.4800088246952272,0.9242558853115438,0.8162369108300269
0.528299546916621,1.1808605540575912,0.7086114259732886
0.4248148932679658,0.8772103143211687,0.8603557288460065
0.4690994879618931,0.9129260308577912,0.6416448059567098
0.5183061723804209,0.9476833844037584,0.7597548201571455
0.5380749869956521,0.9806188828693108,0.8493918394918222
0.46278000259028784,0.8610069232260442,0.8237303111104126
0.465101095287709,0.8836073483082179,0.8154981487680323
0.5423723723816642,0.9143878384374388,0.8852697830145329
0.48677988977327374,0.9086207236643641,0.6956443053353315
0.44097659975105236,1.1390299920062414,0.828174942334554
0.565989210518782,1.4492437009688175,0.8178535155727367
0.4726240865790798,0.9785950312358758,0.8127997379746688
0.5049943436396674,0.9962794029667684,0.7778928013099525
0.45249690108862706,1.1135585460958743,0.7144443286067207
0.5311210982802275,1.4234303929376204,0.7283314278882626
0.5412271899264507,1.3277325683924592,0.7315510134659349
0.4795062610483731,0.9907339338852296,0.7561001245203124
0.4517760360833328,0.8997379396397533,0.7173220634794921
0.4648420371866614,1.2822525238380968,0.7852570193083264
