window_size_1_RMSE,Exp_wAll,Linear_w200
0.21534286580347065,0.4323173311112857,0.4876326390315889
0.21851580805433493,0.4350164935737056,0.5048816806465471
0.21221041644564478,0.40594346785670304,0.4759185022821642
0.21644904623615005,0.4379087150319173,0.4687949767323952
0.22492371577297313,0.4581425832737827,0.5230709579952925
0.219804212720597,0.444015245596456,0.4916913802988219
0.22744125639326696,0.4711074082300801,0.5133372235057975
0.22016343291149398,0.43989130972437857,0.4802265341392716
0.2232831110801156,0.4852109589848376,0.4641978962874208
0.22263101305994745,0.44017600576538,0.5227707971991259
0.21569775429728405,0.4271459199492358,0.4901167896480386
0.2139218889284863,0.3972015508328879,0.4792862600048701
0.21740830571198017,0.4280375851901419,0.5144271358059376
0.22058899537783727,0.4417597350550153,0.5086087498738883
0.21592351332585424,0.4415635349708376,0.4883500239587365
0.21204719379310272,0.42466073333814497,0.4794152497158792
0.22537939306053226,0.45376574877016296,0.4903813251537155
0.2240558746132474,0.4661146377839278,0.4973619598650578
0.21378890765749378,0.4199463790676387,0.482867184866849
0.22351315913363465,0.469047878918197,0.4921405374120264
0.21248051208718913,0.381352267784785,0.5042266854984826
0.2171000166076853,0.4527791810109318,0.488001043666595
0.22399760147787973,0.4610232819417485,0.5066115251579203
0.21593957744573763,0.4298121808556079,0.469775176629956
0.21865248067724954,0.45992361084587396,0.47389703583732395
0.21941981639930855,0.4546143599337873,0.482480151398801
0.2263156695229625,0.4985540845336725,0.497679586911428
0.2156748980609536,0.4085796938893125,0.5153525584125159
0.22229016238086402,0.4334323087726936,0.5400032707850332
0.21590764219074654,0.4342962162227073,0.5025827145861271
0.21916244297467435,0.4305136165955645,0.4957867262147119
0.21667715405536314,0.42356214142487614,0.4927881660337294
0.21595664766487957,0.4264728897021744,0.4911438384746735
0.2117777894873507,0.3874693693541799,0.4970024603400108
0.22315678448446782,0.4651126931029619,0.5080837199736984
0.22233611816143795,0.40988249556857975,0.5375805129000562
0.2146452547788099,0.4211467527468621,0.4852819101179454
0.22486142555569139,0.4650985776108534,0.5077911557267456
0.22001222109742052,0.4510244882649628,0.5032088919348038
0.221588387734759,0.4484939464173697,0.5011367783411328
0.21815817291820533,0.4430476179211228,0.5049979642340502
0.22141882753581663,0.4516456649572973,0.5039714485450633
0.2180820042485719,0.4347115884869794,0.482949782750666
0.21813997029743135,0.4212658237555839,0.5136395948654988
0.2124216563762039,0.4002154954009904,0.4770881444602574
0.21424137079719507,0.4337014507583569,0.4710360273765968
0.2202512866147253,0.4367333204559025,0.5047879619943871
0.22173650392161512,0.42841826204067207,0.5154864230099301
0.2208907718119616,0.4418554474378973,0.4975204628652384
0.21956589032840607,0.4529186644137321,0.5059263085899307
0.21855954016161733,0.4667907008635673,0.4965366982253525
0.21414277958558714,0.4389449140027744,0.4774237768243823
0.22005564245374265,0.4427942276609734,0.503692766344641
0.2171695020357083,0.4353857568996419,0.4877887329642794
0.2124384361547341,0.4062064021163546,0.4808928899947439
0.21922486806908278,0.4435094798974217,0.4760708388047293
0.20995343856266416,0.3998526766103005,0.4987051903451912
0.21720710893738499,0.4461357615756997,0.4949592041823457
0.22234303128273836,0.4379841782673804,0.5133745107552505
0.22251965415753922,0.4472842758057603,0.5206860936024975
0.22317456019955764,0.4771541415822746,0.5044013916037108
0.21653615459651515,0.4136337207331575,0.5169701523484759
0.21560772197678482,0.4451857494551819,0.4695923423236698
0.21612123989353185,0.4272621587576528,0.4873524499633157
0.21532749172735385,0.4376528228545803,0.4926240676306905
0.21302798259294625,0.4249247314275402,0.4783161699753119
0.21913439954186592,0.44549754411441467,0.4957756671106383
0.22159392325189767,0.4556735113406804,0.4993105511681927
0.21600931258290307,0.4255654899056357,0.5049272002152992
0.2221962473281656,0.44778709241293796,0.5246861100960039
0.21269396315927608,0.4296720930989221,0.4769506816807289
0.21557408569712608,0.41354040014478977,0.5223665127067927
0.21818992640436632,0.44536722851516536,0.4960550156404835
0.21616415090952418,0.4358424426572687,0.5099744907207827
0.2287215786970204,0.4738827649467121,0.5209908822814612
0.21723011733852382,0.4342898441285677,0.5022889296011788
0.21039483469523154,0.3808841950167951,0.5138234701005832
0.2236219904197535,0.4604067259162438,0.5109504426470397
0.21500092899779766,0.4221234714368503,0.5050657223404789
0.21768723394415523,0.4508627168437888,0.490920211110198
0.21898958760933357,0.4297129130160647,0.5043526112612121
0.21526815065975968,0.4363180858947435,0.496235222505444
0.21535169964606793,0.43069402414058905,0.4928301238126427
0.2153826951484391,0.4208745737868051,0.4965650862917166
0.22382124452988222,0.4737395168133798,0.5042102993486471
0.21161921649189466,0.40148305317366817,0.4673637188271706
0.21834001483624746,0.4288759591872849,0.5168833046755821
0.22162874582000697,0.4399201353645572,0.5200928706002736
0.22667023002522108,0.4550773012128845,0.5416693655337719
0.22088181009900423,0.4581600634482091,0.4777764605831887
0.21995084471574938,0.4452193734606576,0.4855595827935428
0.21716169024539808,0.4284122231240937,0.4970100511230322
0.2151664137814605,0.4071467059021928,0.5072748431109652
0.22060389050234314,0.4600175619412691,0.4828244674545533
0.22260714319097552,0.4532981365014813,0.5150435815454874
0.21140391752784296,0.3892939471252623,0.4841911655914652
0.21815875308241195,0.4379628952885168,0.48598858888766205
0.20897951295503156,0.3994976030102708,0.4795569080008569
0.21590986990245875,0.40717374504170784,0.5023474334074948
0.21369170638390805,0.3839301123042035,0.5301945458399804
0.21737901914799565,0.4152839038719479,0.5017216233308418
0.2143954829269743,0.3856657093273688,0.5177579638954124
0.22416577574407423,0.4653374640330538,0.5128216815397253
0.21095144120176662,0.3984895418432049,0.4740155982536781
0.21683910414057625,0.4102938629243724,0.5166409887754686
0.21990950726129946,0.4563978473190054,0.500485392547895
0.22196590567434477,0.4443830882018467,0.47827868535045
0.21626399222396187,0.3951062867288211,0.5163462147870821
0.21759522267811746,0.41621401110112827,0.5102656257041057
0.2183246443844859,0.4333489580220597,0.4919053617758559
0.2198030187741856,0.4603554679744616,0.4862798975040396
0.22047511617927826,0.4508570301747217,0.4867373632901526
0.2205257909880153,0.4562351488917952,0.4941941456229882
0.2188417452795284,0.4402281983556661,0.4940996208443804
0.21529177641276762,0.4308592648440723,0.4773116862271617
0.21301307834570105,0.4106243812248263,0.4898092416655485
0.21695070098183472,0.4451285500527492,0.4917592579184379
0.22381009400760565,0.4659711865039857,0.4921826084734332
0.21496809753895516,0.4175247737358937,0.4898086116485105
0.21599630108131967,0.4309232302955936,0.5122764456528597
0.21775180225859547,0.4450035740681265,0.47627436507760396
0.21288812467835375,0.4390346206701883,0.4732655823296233
0.22447753507862925,0.4736068403345062,0.4866014211497218
0.21202316836916155,0.3992460791575829,0.5135119579195923
0.2261767678614081,0.4941191202445603,0.5029249784928137
0.21637047471071866,0.4443301462188917,0.4944923330070372
0.2086904669008067,0.3818074197333942,0.4889714172836376
0.22058365729303134,0.4393746858020161,0.5060442902113572
0.2175102297445024,0.4377638186154904,0.4991633225734654
0.21194338220465134,0.4089541260826443,0.5041469104273953
0.2163064318562739,0.442964610895068,0.4838325791966546
0.21825196007274805,0.4320921355924388,0.5079247339798085
0.21111268518252302,0.3765444434211586,0.4933859474625072
0.2134669518033701,0.4411514022827723,0.4877722718736463
0.2159502895109851,0.4228602265378779,0.4897099062553645
0.21792564303831866,0.4332580034374612,0.4913348872295205
0.2165368369060115,0.4372416395710916,0.4914092152008421
0.22476210884608464,0.4705738204065663,0.5036737590709011
0.21445795924250483,0.4473273319531139,0.4778550216612529
0.21845391762953575,0.4333927798742113,0.5153071563554238
0.21571558182387635,0.4222291070088121,0.4824077077198983
0.2163682213451802,0.4184442092386439,0.5081924408897512
0.21412138249278928,0.4194265932724848,0.4798973715126187
0.21558772426607356,0.4237608307196284,0.4819938308122353
0.22166598165206536,0.4473390170358264,0.5005254413187267
0.22104423072161952,0.4439996690393183,0.5076871472992337
0.218035374721816,0.4500581301498633,0.4938608484945845
0.20993448271205267,0.415420087427154,0.4667511035537621
0.21748335109325467,0.4510079694617224,0.5110999202275841
0.21161747898279498,0.4128602989708546,0.4910147828827138
0.210187610008541,0.4131556540737487,0.4697642345729866
0.21729050634442665,0.4529349503044578,0.4999291819786613
0.21623517971495196,0.4376882148553126,0.5053709144697742
0.21744573873401674,0.4293864729815257,0.5096562414282143
0.21862597544317755,0.4434015939876804,0.4781488247428442
0.2147174900848989,0.417099851318561,0.52223056530764
0.2206018709565833,0.4362436157569842,0.4984579101002283
0.2240117059452696,0.4763559634634893,0.4865148877635815
0.21103749322203702,0.4103016370754408,0.4872006157229721
0.21997688513576052,0.447031271663886,0.4903631436400058
0.21144766156396488,0.4107969547038132,0.4809612565539946
0.21099649153898542,0.42139166472822537,0.4721370229425036
0.2125114836552995,0.4135376343122079,0.4958008715319629
0.2163189295159791,0.43687132824653613,0.4879548372897217
0.21948406030292744,0.44426884325822624,0.4725538500165014
0.22292519941878963,0.4442877219946724,0.5219433689561783
0.21524750769335008,0.4343803248744332,0.4652570638224349
0.21711488057828254,0.4319807805753826,0.4808082234012056
0.21909642738343152,0.4588120871500505,0.4878562829046861
0.21828879005100493,0.4313694694880235,0.4960280876911733
0.21714299275160903,0.4147430603626847,0.5028491581752941
0.2217581510158132,0.4415194514054621,0.521473392205614
0.22540636719500282,0.4509312533525667,0.5136155278807096
0.21654361522883384,0.4363005193848036,0.4791430775460304
0.22029804677615983,0.4509238743204815,0.492606653115989
0.21219943992337698,0.42051660268524826,0.4798612102769553
0.2156334584853591,0.4373050404497101,0.4865177479303421
0.21895653867529016,0.4570222303683592,0.4800695714354785
0.2198297569788259,0.4507676732725651,0.5103278629008379
0.2254457645684601,0.48247726134236296,0.4958219984429801
0.22235573374366474,0.4456952613912689,0.4823417970556138
0.2228549615621385,0.4547525220974016,0.5093725675240779
0.2192223217746983,0.4081347627447041,0.5168319533897312
0.22083337889773944,0.44157063610099256,0.5093665694762549
0.2165886868426179,0.4069943626062975,0.5040258115872949
0.21920012286748425,0.451795015209636,0.5040904339133987
0.21514375546272477,0.439882611101473,0.4578381165927842
0.21650821096945286,0.4296037916585563,0.5187725067846748
0.21427710172412417,0.4400255259164487,0.4703465663373928
0.21646224419320625,0.4435109840664804,0.4668308461499908
0.2212768993095444,0.4805997546242018,0.4850513575427683
0.2192477037887949,0.4375241648751584,0.5125908172440872
0.21483486113246805,0.41980097051292026,0.5102673480553076
0.21280063702451466,0.42642733671917343,0.47321507007920005
0.2198826627340594,0.4189527766500156,0.5138732631087213
0.2158196221888332,0.4426338073771893,0.4687012296074594
0.22405695435611467,0.4480370978467009,0.5065728536701458
0.22242585225176226,0.4505468781925834,0.4937300194909796
0.22271528133899468,0.4686688117037859,0.486017974376505
0.21522839037451402,0.4155719148842827,0.4757651389860764
0.21739047167284284,0.4216221151296233,0.5052483966198351
0.22535667718895977,0.4776901329126256,0.5052003900420022
0.21274533891606354,0.404528949539899,0.4839904212605676
0.22543922227900318,0.4769649885486512,0.4954042520977234
0.2276035095107418,0.4988278170108703,0.4845928454572826
0.21047415327906716,0.4171534225723725,0.468992218246631
0.22026971720042743,0.4556351107579949,0.5002642537305839
0.21896443561420834,0.4373061058012756,0.49413766986819296
0.2207633928905651,0.4636038494398671,0.4715523356943278
0.21919307078644615,0.4541102897236488,0.4891836158194484
0.21986584058564404,0.4404011227149249,0.5034540237373211
0.22501035899602514,0.4637984074444156,0.5136157235113061
0.2239438243618258,0.4556342777464734,0.5133460875053688
0.22286723504084643,0.4644396443369784,0.5027228191853792
0.21896488170599604,0.4414634950925179,0.5016919342319016
0.218683280194379,0.4258438801968802,0.5133139662635312
0.2172800520568208,0.4289572125123892,0.4925669446192643
0.2187989111328422,0.42084214420033467,0.4885971956877917
0.22297337462998182,0.42394047110601796,0.5371523946536797
0.22262851233742798,0.4715812825759407,0.4627948759941162
0.2138555534761121,0.41193648362602026,0.4855762520274836
0.2258555257462861,0.4518586006150638,0.5044938092187421
0.22091754955941753,0.4606367068745776,0.4881279459833488
0.22793823311200184,0.4693916221987775,0.4951042006953997
0.2185102350948432,0.43559190091773536,0.5021197893586831
0.21621366965921562,0.4213002455905599,0.4848082008430732
0.2168527622981102,0.4267942252927219,0.5057833230191817
0.22046423838124213,0.4446803821987204,0.4978194335233319
0.21496340190301905,0.4222765212554905,0.4900598410814304
0.22321975172332223,0.4548288137054192,0.4962697364895478
