window_size_1_RMSE,Exp_wAll,Linear_wAll
0.1814078250339738,0.4323173311112857,0.27290976931570704
0.1872545567698098,0.4350164935737056,0.2823156574057244
0.18623356972568314,0.40594346785670304,0.2973138983006826
0.1866267669895999,0.4379087150319173,0.3039730707547818
0.1863213254088663,0.4581425832737827,0.2892140414944455
0.18608016365650448,0.444015245596456,0.27558271702362336
0.18496219854545218,0.4711074082300801,0.2734822934494193
0.18700065945474878,0.43989130972437857,0.2731809557881997
0.1904973439687912,0.4852109589848376,0.2908508463756311
0.18428318476679734,0.44017600576538,0.26967320445640103
0.18491457342014284,0.4271459199492358,0.28245450622439994
0.18022440448950083,0.3972015508328879,0.2683546082592197
0.18376375609191675,0.4280375851901419,0.2906178307484665
0.18604407565735037,0.4417597350550153,0.2823699952778056
0.18596175886795285,0.4415635349708376,0.31479073676078473
0.18562978840375613,0.42466073333814497,0.2949862775091636
0.18714547268526815,0.45376574877016296,0.30518106917550397
0.19175445748297798,0.4661146377839278,0.27696722964087434
0.18680507602834465,0.4199463790676387,0.2927992100214642
0.1888696657638679,0.469047878918197,0.26005210408775825
0.1818447189202923,0.381352267784785,0.28946160815901506
0.18807343467511278,0.4527791810109318,0.2858131990226303
0.190208679869319,0.4610232819417485,0.2970601465520253
0.18546336274072409,0.4298121808556079,0.2781370902720709
0.19022461609220487,0.45992361084587396,0.2903969596929917
0.18696301085333403,0.4546143599337873,0.2793207487799332
0.19266815451943628,0.4985540845336725,0.3004308489904273
0.17914521217471982,0.4085796938893125,0.2676470179710828
0.18590870974825888,0.4334323087726936,0.270599419349918
0.1846462838159773,0.4342962162227073,0.2833474704680548
0.18466049027949383,0.4305136165955645,0.28355879152085
0.18362808969084035,0.42356214142487614,0.2948957588761821
0.18558335088805428,0.4264728897021744,0.2744575313668335
0.18167682656330483,0.3874693693541799,0.2990347828633664
0.19008840385185952,0.4651126931029619,0.28057070151396546
0.18400095028076513,0.40988249556857975,0.29722574627328546
0.1853637515750046,0.4211467527468621,0.2630327237901764
0.19742253375395077,0.4650985776108534,0.35602240170549443
0.18890400349028183,0.4510244882649628,0.2928008249504829
0.18894966063138624,0.4484939464173697,0.2831163513995779
0.1876266865917806,0.4430476179211228,0.2825042748567399
0.19179972138996593,0.4516456649572973,0.30894307866894083
0.1839562205557032,0.4347115884869794,0.2722110055077661
0.18657272142528775,0.4212658237555839,0.2856393827703787
0.18288093267705605,0.4002154954009904,0.2864355661018799
0.1820011906361545,0.4337014507583569,0.2705753572489759
0.18779825738573921,0.4367333204559025,0.3260857513657257
0.18321515639185812,0.42841826204067207,0.2818653223238569
0.18855551665522088,0.4418554474378973,0.28083702241209696
0.18767694176344263,0.4529186644137321,0.2765747421882317
0.18719730528791348,0.4667907008635673,0.27602905148014706
0.1862041203636268,0.4389449140027744,0.3009900901391627
0.18718638580768876,0.4427942276609734,0.3142141833042298
0.18493815784415987,0.4353857568996419,0.2862775919386251
0.1828798159500791,0.4062064021163546,0.28066226240632913
0.18836515385270855,0.4435094798974217,0.28625836737344545
0.17888114749047732,0.3998526766103005,0.2634874469256765
0.18764961327392662,0.4461357615756997,0.2885167549479448
0.18739319099758978,0.4379841782673804,0.29123723231893445
0.18658547080959095,0.4472842758057603,0.2717717169532369
0.19007174938323154,0.4771541415822746,0.2975193299313781
0.1843120437052597,0.4136337207331575,0.30247603029055875
0.18608777219973452,0.4451857494551819,0.29563368170410864
0.18674552161856772,0.4272621587576528,0.2758385455870258
0.18537875936362178,0.4376528228545803,0.2980502969731366
0.18318420697396035,0.4249247314275402,0.2933241810668648
0.18909617048171376,0.44549754411441467,0.27408937895413066
0.18443684695329082,0.4556735113406804,0.2801124125016665
0.18370396866163638,0.4255654899056357,0.2941946363501359
0.1847484387182581,0.44778709241293796,0.2782757691600507
0.185089212210179,0.4296720930989221,0.30526975700169223
0.18160509344926287,0.41354040014478977,0.2704864894582724
0.1862791021781031,0.44536722851516536,0.2908871762318445
0.1865002110529057,0.4358424426572687,0.2854410777648302
0.18771568769278318,0.4738827649467121,0.3109388215361332
0.1894311726228154,0.4342898441285677,0.2916059649945159
0.18122617672067434,0.3808841950167951,0.30489506265961713
0.18511237596809985,0.4604067259162438,0.2920946830888224
0.18265038111838852,0.4221234714368503,0.26171754055581753
0.18606472081357991,0.4508627168437888,0.3007624447032896
0.1850249062038357,0.4297129130160647,0.30916877570527224
0.18535204596481872,0.4363180858947435,0.28023442167439205
0.18737695187965378,0.43069402414058905,0.3051569749664687
0.18544757618795715,0.4208745737868051,0.317239646262202
