window_size_1_RMSE,Exp_w200,Linear_wAll
0.1831162543440163,0.5485042063286414,0.27290976931570704
0.18916888552340436,0.5215653233898839,0.2823156574057244
0.1901416560584815,0.5655478209976491,0.2973138983006826
0.18824357726208454,0.6137888685652024,0.3039730707547818
0.19236893155465432,0.5841682699919661,0.2892140414944455
0.18447353214616577,0.5907578018886596,0.27558271702362336
0.18476612820665547,0.5508993978995239,0.2734822934494193
0.19140401426741083,0.6122999923538747,0.2731809557881997
0.1878993198577863,0.6037311175475216,0.2908508463756311
0.18596672485978435,0.6083155366218803,0.26967320445640103
0.191279759030313,0.5803677929795671,0.28245450622439994
0.18449750435187148,0.5973680058082169,0.2683546082592197
0.18765413014211105,0.6121029458773536,0.2906178307484665
0.18871418483755925,0.5911222015290221,0.2823699952778056
0.18856872459519367,0.5443537085159654,0.31479073676078473
0.18662340164694227,0.5633346737318603,0.2949862775091636
0.18724988388304126,0.5584106397332997,0.30518106917550397
0.18965438074364768,0.6124204231398533,0.27696722964087434
0.18868482911784246,0.5453498942734009,0.2927992100214642
0.1855551123693563,0.5827686196721261,0.26005210408775825
0.18824235252293128,0.5591602788105137,0.28946160815901506
0.18971931720188642,0.5573514873572365,0.2858131990226303
0.18836798901959428,0.5505068323015739,0.2970601465520253
0.18870890694390496,0.6367361881494306,0.2781370902720709
0.19107151829156546,0.5833905162623495,0.2903969596929917
0.18818762057996558,0.5802096456940816,0.2793207487799332
0.18905205446268514,0.5538499695761641,0.3004308489904273
0.1864084465519281,0.5592553565145315,0.2676470179710828
0.19064925121293438,0.6394610648506145,0.270599419349918
0.1891092641379727,0.6070408112949546,0.2833474704680548
0.18971257319004323,0.5576073381442709,0.28355879152085
0.18469678602549824,0.5699418500960394,0.2948957588761821
0.1884389863736913,0.5882361746194826,0.2744575313668335
0.18895443003998885,0.5802524008387074,0.2990347828633664
0.1890271814233218,0.5649323407913914,0.28057070151396546
0.18804604022301233,0.5739319435239879,0.29722574627328546
0.1923097196565969,0.6250534931175029,0.2630327237901764
0.19137179724944142,0.5929914010561244,0.35602240170549443
0.1880461048167491,0.5844316393133421,0.2928008249504829
0.1891161307507913,0.6066428250142628,0.2831163513995779
0.18749986943481872,0.5665041757607898,0.2825042748567399
0.18834771849354223,0.5386051440109407,0.30894307866894083
0.18539048846636733,0.5680520877163837,0.2722110055077661
0.19159456478426734,0.6100322604774409,0.2856393827703787
0.1878044924967028,0.554931434752247,0.2864355661018799
0.18962789650795572,0.5928241825042494,0.2705753572489759
0.1884284564030501,0.5668809360850484,0.3260857513657257
0.18488674119051926,0.5609336074285114,0.2818653223238569
0.18975807059002947,0.5748964014485771,0.28083702241209696
0.18774110167537952,0.6031128598718526,0.2765747421882317
0.18955686340836247,0.569489850312793,0.27602905148014706
0.18748077837742694,0.5618135923161273,0.3009900901391627
0.18888561345466415,0.5243253082820882,0.3142141833042298
0.18863386602573037,0.6211491352094997,0.2862775919386251
0.19052454499104685,0.5828803508778959,0.28066226240632913
0.19129046645724543,0.5622031910909591,0.28625836737344545
0.18743400704024563,0.5676645252318104,0.2634874469256765
0.19153530718577996,0.5698189014951116,0.2885167549479448
0.18917709731271884,0.5733541467428956,0.29123723231893445
0.18847907105288592,0.6004726503438313,0.2717717169532369
0.18947245409402805,0.6001028426843721,0.2975193299313781
0.1938980149586363,0.6129856359603787,0.30247603029055875
0.18800349141122535,0.5578065429285877,0.29563368170410864
0.1940993124888586,0.6050298999785783,0.2758385455870258
0.19008361039693053,0.5890221839198228,0.2980502969731366
0.18854235162086874,0.588514572035875,0.2933241810668648
0.18996747716995727,0.5548864971557758,0.27408937895413066
0.1846366509629593,0.5270477493826633,0.2801124125016665
0.18865817053112363,0.5469644597119386,0.2941946363501359
0.18808071862626455,0.558962796221093,0.2782757691600507
0.1884694906755603,0.5918357090905139,0.30526975700169223
0.190950360816666,0.6019880136339149,0.2704864894582724
0.18810313046816202,0.547113814290781,0.2908871762318445
0.19366046447480925,0.5654641958133722,0.2854410777648302
0.18675602182128537,0.6060784291958897,0.3109388215361332
0.19320580731717926,0.5606206029770242,0.2916059649945159
0.18952980085573834,0.6024582621442501,0.30489506265961713
0.1874783210772793,0.5582979153336989,0.2920946830888224
0.18760037754351067,0.5680993396533663,0.26171754055581753
0.19183829655446466,0.5798100899110409,0.3007624447032896
0.19005317372743918,0.6006776654687415,0.30916877570527224
0.18680169572661653,0.5855922025062401,0.28023442167439205
0.19178154090452232,0.5714679463979673,0.3051569749664687
0.19254706197895835,0.5793294860621312,0.317239646262202
0.19370339129939743,0.5549357790089274,0.2959558432102776
0.18845060545289116,0.5656338067749339,0.3026140466405309
0.1910243772458321,0.5538941191493454,0.2859861267867426
0.1919730829720117,0.5578623943844889,0.2970473786634768
0.18955761911844565,0.5580133975069053,0.3012670836038348
0.18989982234085798,0.6155353025596135,0.2900339652271339
0.1884431175192734,0.6719979345080321,0.29587973126075395
0.1915757364510936,0.5629382684273443,0.3090545956486765
0.1868946727479718,0.5435341813258194,0.29357099193686514
0.18655767337184578,0.5580232304927621,0.3034336829993005
0.19253240268063848,0.5791434151951699,0.2925780871546231
0.19119295449374354,0.5856432795496473,0.2833628260550136
0.19018157148575254,0.6286875451828028,0.2683649667414326
0.19022219701683227,0.5474113120342059,0.2857952604363922
0.19388140154967765,0.537058724119498,0.2962755938913697
0.19065151163025004,0.5906328401287383,0.3144559336617117
0.195230083890051,0.5494993132905607,0.3423985908341773
0.18835189000329716,0.5629648884275383,0.30871730556539906
0.19093099655160756,0.6112519350215981,0.3140693093128252
0.19053599076021677,0.614584867660667,0.2781381238698861
0.18875317013560278,0.5716059444951632,0.31908986664444394
0.18940952895683824,0.5538939413983378,0.2845910121897158
0.1930737261015561,0.5900919948979785,0.2993842064915242
