window_size_1_RMSE,Plain_wAll,Exp_wAll
0.18319954478816478,0.27040924430040475,0.4323173311112857
0.18608874818022564,0.2913964603672175,0.4350164935737056
0.18241941315883087,0.2758463622027686,0.40594346785670304
0.18426363902305412,0.2795339027856497,0.4379087150319173
0.1830972362569412,0.28001441374968955,0.4581425832737827
0.18561223643096406,0.28621170707214216,0.444015245596456
0.18401564736643217,0.2756709851785163,0.4711074082300801
0.1866919652062945,0.2972063260005388,0.43989130972437857
0.19140439194656308,0.2754862571794423,0.4852109589848376
0.18328007707452676,0.27176556431122256,0.44017600576538
0.182837601588115,0.2738509943503193,0.4271459199492358
0.18096588023896876,0.301476930630645,0.3972015508328879
0.18257355046146184,0.287731217788796,0.4280375851901419
0.1853645928239386,0.2839691079579583,0.4417597350550153
0.18524201642223467,0.26426384726884083,0.4415635349708376
0.18740768894039037,0.2771081719611909,0.42466073333814497
0.18638171673544426,0.3036835417932125,0.45376574877016296
0.19006130388501483,0.2820331644777031,0.4661146377839278
0.18472555690819553,0.33045815999724937,0.4199463790676387
0.19462708295896344,0.312770857802053,0.469047878918197
0.1874816768529615,0.3144782859668669,0.381352267784785
0.19117127995473068,0.28232700230806185,0.4527791810109318
0.19421117679651556,0.3427894188380436,0.4610232819417485
0.19319324950779548,0.3037442385040624,0.4298121808556079
0.19267470267572867,0.3069271425706463,0.45992361084587396
0.1937199352686035,0.3166320962465501,0.4546143599337873
0.19667337945426833,0.29542014756675355,0.4985540845336725
0.1881657433758953,0.2860329805069277,0.4085796938893125
0.1921766824109401,0.3073587099339091,0.4334323087726936
0.18826918415975066,0.2693565398113782,0.4342962162227073
0.1843379236022779,0.30380478849973663,0.4305136165955645
0.18911918260797678,0.3123964370656174,0.42356214142487614
0.18938349755737416,0.29496765822765225,0.4264728897021744
0.18602237904750143,0.2927816358912299,0.3874693693541799
0.1911474765407256,0.2997740559501155,0.4651126931029619
0.1847364724288751,0.3207665481009461,0.40988249556857975
0.18895559284651584,0.2908717039198148,0.4211467527468621
0.193047625348562,0.2930937555088217,0.4650985776108534
0.1920483764315776,0.3195852458054882,0.4510244882649628
0.19257538193084364,0.3017416801937749,0.4484939464173697
0.1923103867057563,0.34327366338049464,0.4430476179211228
0.19221327599787716,0.2880771634430705,0.4516456649572973
0.18882468590900292,0.28249288124780103,0.4347115884869794
0.1900660446099595,0.3031904256469488,0.4212658237555839
0.18556804269874339,0.30619159837023224,0.4002154954009904
0.1875436112332986,0.3091764730460332,0.4337014507583569
0.18878733410832113,0.3197663760916709,0.4367333204559025
0.18757421234263652,0.3106337112895694,0.42841826204067207
0.190390381792874,0.2989521679268265,0.4418554474378973
0.1931583258968815,0.3137352599634425,0.4529186644137321
0.1902658402570492,0.32143446807622184,0.4667907008635673
0.19368903675204535,0.321760966025682,0.4389449140027744
0.189085865141477,0.321316590968743,0.4427942276609734
0.19024732823050786,0.316396724255736,0.4353857568996419
0.18892087753747552,0.3097567800212765,0.4062064021163546
0.19140007634816747,0.3307706300884326,0.4435094798974217
0.1905052262969358,0.3868307168180706,0.3998526766103005
0.19088240038068918,0.2982579023968108,0.4461357615756997
0.19041524231274704,0.32318889209630425,0.4379841782673804
0.19285231677314307,0.3175727522846608,0.4472842758057603
0.195403145401581,0.31904325407730105,0.4771541415822746
0.18741246153799412,0.3076178153932308,0.4136337207331575
0.18518304146545644,0.3176638639598461,0.4451857494551819
0.18692901911771734,0.3488823542675757,0.4272621587576528
0.19052030948038684,0.3084690428555543,0.4376528228545803
0.18807500036051625,0.3419018378704844,0.4249247314275402
0.1935740779864218,0.3141187677183685,0.44549754411441467
0.19188562157710534,0.2959106150853587,0.4556735113406804
0.18610112410918778,0.3183146041467457,0.4255654899056357
0.19085188515049392,0.3063369327199018,0.44778709241293796
0.18914049933994995,0.34386365515537665,0.4296720930989221
0.18767603287957724,0.3194933629787641,0.41354040014478977
0.19115656035880937,0.29994319304803296,0.44536722851516536
0.18982398234202413,0.3213827814228287,0.4358424426572687
0.1974403342380392,0.3292107946575555,0.4738827649467121
0.19292723075879756,0.31609159571660184,0.4342898441285677
0.18200164368953956,0.3953545645852571,0.3808841950167951
0.19230664267506994,0.30593654020254546,0.4604067259162438
0.1848862365979607,0.30019491206250665,0.4221234714368503
0.19061487605733315,0.3156802492900596,0.4508627168437888
0.19156293642666025,0.3809559584282705,0.4297129130160647
0.18855262351757618,0.3181508066905829,0.4363180858947435
0.19188472462643177,0.3032031538735958,0.43069402414058905
0.18556757130109308,0.3192271572991977,0.4208745737868051
0.18848004607912774,0.3138739208146677,0.4737395168133798
0.18606367401473825,0.3377086646853011,0.40148305317366817
0.1866234728235592,0.3431452957911877,0.4288759591872849
0.19002348310948103,0.31055096377833324,0.4399201353645572
0.1921199374248287,0.3191723946501166,0.4550773012128845
0.1951525446882723,0.31286145239757635,0.4581600634482091
0.19503349693083155,0.37284996297691736,0.4452193734606576
0.18777099667971,0.3215589288389517,0.4284122231240937
0.18846441081219298,0.31352206122279475,0.4071467059021928
0.19570087912213383,0.341944344933426,0.4600175619412691
0.1939775775912996,0.31080610092282496,0.4532981365014813
0.18880644570247118,0.3106741302371738,0.3892939471252623
0.18888732137259504,0.29546538405347084,0.4379628952885168
0.18902855516233136,0.314408068031878,0.3994976030102708
0.19154026883003333,0.3195950347432115,0.40717374504170784
0.1880027652382286,0.3230314535068892,0.3839301123042035
