window_size_1_RMSE,Exp_w200,Linear_w200
0.5619702374753939,0.7289038270430264,0.5909080339211424
0.7190243531907731,0.7015357271224658,0.6435235519775785
0.5381335373843121,0.6962499623366968,0.6330494360944686
0.5286322123946545,0.7437688479057654,0.6187452438733396
0.5461416076753043,0.7214341983903148,0.6314697444377985
0.5531748548831339,0.7187398470586804,0.6396641915628457
0.5359046355151695,0.7288682221157388,0.6199477489119236
0.5445049678317772,0.747283346919014,0.6241684467114268
0.510318357392158,0.6956715403162961,0.6004980849498018
0.5305534415159793,0.7096643267727414,0.6236191734817342
0.5262250475363928,0.7033321384834978,0.6227577593982645
0.5237599111455405,0.7066932172071065,0.613659798517501
0.5891607939763529,0.7138065456787441,0.6219132055477355
0.5612156281776682,0.7854901199553567,0.6154293439696985
0.536530370434124,0.7052966351211802,0.642421466398015
0.5130058939276672,0.6888469471404945,0.6270956114300501
0.5431238668689802,0.720780365006098,0.6133169269491681
0.5377905906931266,0.7129548176513761,0.6399797872658503
0.5217887448815632,0.7456778730152089,0.5844428115905539
0.5745609480355995,0.7423515532562726,0.6092824549359706
0.5513575341089835,0.7393351158587173,0.6272209448113124
0.5259727975832219,0.6963987858836781,0.6091379460354471
0.5190245747076779,0.7041639341988001,0.6095343926981176
0.5305089794982623,0.7116500210908072,0.6391088928637112
0.5231792874627802,0.7295262560645609,0.6032774068854146
0.5231303339531178,0.7383551932030673,0.6005008261520314
0.6010370161290272,0.6936802363821941,0.6044140468644629
0.5338538550430766,0.7570489808863533,0.6240811018056039
0.5526426813594539,0.7419459548214857,0.6528669020521132
0.5445739235211609,0.7189301488127406,0.6155060432740689
0.5299674837792685,0.7022451283120453,0.6225998503243453
0.5082722736560826,0.6916866345258093,0.5981076084522223
0.5847172063531003,0.7131975259667956,0.6153619778090279
0.5200559009212896,0.7077932607519021,0.6453646076081156
0.6191957819468609,0.7190614229126551,0.6411791017585969
0.5309129585527645,0.7029588381243215,0.6412822934517675
0.5140141302424626,0.6641683511569023,0.6370288417342272
0.5511059178933536,0.6988129049699201,0.6463118270243181
0.5365106240597443,0.6842829817303903,0.6259357890178001
0.5810176735205651,0.7014083491433827,0.6317005870323559
0.5285497033594992,0.7352032031373564,0.5946362686837265
0.5026727846784246,0.6724204014930086,0.5948450310507083
0.5517765830431212,0.7272379390597394,0.6352230088530465
0.7826848597622237,0.7357615076348413,0.6309771925378725
0.5243568083807247,0.6963318339879521,0.6293707958814769
0.5808383125349862,0.6861745219831787,0.616018906340785
0.5100502014141077,0.6986879548368837,0.6053613554136666
0.5135694711777984,0.7248650906195079,0.5990346477468127
0.5031380617916659,0.6972989250677535,0.6179683858587746
0.5420581391444222,0.7219469381896465,0.6375801333199771
0.5076367224874413,0.6991628951747326,0.5953181735044065
0.5133626496284796,0.7514245348154697,0.5887991751444082
0.5359785168596904,0.7278904813297915,0.6455090658144097
0.5722731403272481,0.7008936703192791,0.6219832365020321
0.5237657689933453,0.6939516897165245,0.6177502304509814
0.5508295468020178,0.730022154104493,0.6423065719984068
0.5534555572652372,0.7497079519171451,0.6305504040844865
0.5257552650284231,0.7470055805820749,0.6312110758019557
0.5051718976240424,0.7098457610807505,0.6047812813053796
0.5385665835324672,0.7456776159761718,0.6230498141383143
0.6499047039511059,0.6965600011426416,0.626096356304119
0.4812937463666168,0.6813237609416393,0.5659370072455077
0.5605557592122066,0.6826968182308114,0.5949295974399722
0.5350296280419308,0.7321648844967359,0.6139279879665466
0.527871422717476,0.6789848506341016,0.6142411497010525
0.5414891333028576,0.7031582675138537,0.6386720203189028
0.5176239475697754,0.6614989466556136,0.6211380207021228
0.5451254798801162,0.7016360713224491,0.6417293009540783
1.4003262352702512,0.7225530905988182,0.6342878428586087
0.526953271424165,0.6979810134079848,0.6373532422185615
0.5545094531565726,0.7112972409399123,0.6140720725662442
1.4225546817518198,0.7139934026060399,0.6161161075399675
0.5188610864868494,0.7298267217015392,0.5912579684569069
0.5370741268650018,0.6950234835279799,0.5990649955292121
0.5414153091787653,0.6914279406426715,0.6399833681301266
0.5376005509644093,0.7356061973018301,0.6010600417064089
0.5281882942372023,0.7168768089991663,0.6158959275693762
0.5379514342616529,0.7034495798086929,0.6298992899804757
0.5198521336847449,0.7031993344737856,0.609037016910866
0.5539222715613554,0.7107278476370841,0.6091078542250531
0.5335293577874599,0.7206584290706295,0.6221056967159195
0.5144660550840716,0.7315843993329574,0.5888212163333527
0.5083386583433119,0.668641711928084,0.6309753687688627
0.5235772753449639,0.7560225696101576,0.6066902600612903
0.5222985915410857,0.7519213154134959,0.6142791830111599
0.575149838687254,0.7179950255293417,0.6296473429608668
0.526680095871925,0.7244430851882953,0.6204993494552081
0.4893904641230516,0.6673008364705657,0.6063323163898309
0.5255981248934658,0.6844334296447812,0.6044379100978841
0.5708073686432784,0.6866904750408114,0.6032009654667339
0.5244352763251394,0.7210834992608927,0.6086911934830043
0.5728922279416133,0.7233340900560087,0.6149534835606842
0.5830909969602839,0.7431610766439263,0.6035297804327324
0.5366230756699839,0.7473964254374481,0.641978166708827
0.49674725392276103,0.7009106372896305,0.6099560956779506
0.5648749579067314,0.8039936632799778,0.6304974746728453
0.5626829952827194,0.7070921851239977,0.6433700021774699
0.5397804541742666,0.6860709888027375,0.6481939329840462
0.5026415262061547,0.7139070492061284,0.597417846978075
0.5586001621995125,0.7020495188035838,0.6191061034441864
0.5667314840627721,0.7240832865774459,0.5823125117699383
0.917538572282584,0.6412041682871582,0.6310864354419783
0.5435173064249129,0.7664423656784333,0.628511972028905
