window_size_1_RMSE,Exp_wAll,Linear_wAll
0.45094670178607354,0.5719126865758367,0.6253839740921286
0.5941078990804952,0.5024499156714335,0.4311485009153133
0.3692818527284901,0.5591590238532139,0.5006125633931984
0.319073298569716,0.5154233186058801,0.4187063814476406
0.27870857167728713,0.4975232757085014,0.4564086992414652
0.3231779100595884,0.4930951934221329,0.5312676032290026
0.31977496597453614,0.5479278959368137,0.4609689560400917
0.3220504299271703,0.5199644784599631,0.466575761453284
0.311331072740116,0.5509607658226423,0.41226627951852857
0.33425826795049074,0.4866741766064172,0.5627544323057572
0.28144648592171184,0.5423760183089363,0.39175221094168505
0.2996702922654116,0.5307152188365176,0.4810486685673747
0.46973052565923956,0.6367231708794352,0.631571635981815
0.32502273181047364,0.5819449118401093,0.5549202058929488
0.34300945164662444,0.5203444483623156,0.6585456400595074
0.3151531926863187,0.590674383547284,0.4047878789588072
0.41417449482879537,0.5713118768242614,0.6417656486203063
0.33034128326700135,0.4883349774826983,0.6057592538778036
0.3299855176703073,0.5832170919084916,0.3828959281874413
0.45653197636496257,0.5800851256975963,0.7110362902995943
0.3215100869600741,0.5663664319982659,0.5848745336874884
0.26502094063950954,0.5774855895623793,0.35573890933817576
0.3075053737307992,0.549367307624624,0.4704605428889878
0.29219991639045256,0.4831865125405267,0.4337588479560431
0.3129350617582835,0.5748767158919978,0.4897906332765751
0.30355162279067166,0.5616641673290739,0.4579163355202938
0.476819997227437,0.5903162100403448,0.3853469108018514
0.25849938983621373,0.5713290073101507,0.3591981530664107
0.3530372201743279,0.5994091037158362,0.5353224387620442
0.4542204749680137,0.5808809903051594,0.7530469558429062
0.3472923244844276,0.5858963189035941,0.5716552452687826
0.30705491211211317,0.5661373394927317,0.5048120589133516
0.468334850259711,0.5965818737525828,0.705219902966517
0.35724623182028903,0.5816846204996851,0.5877632767651884
0.4963355494446214,0.5467774728421175,0.5441752476794668
0.3187836807671886,0.5218070885418015,0.4901138833497638
0.33260622117218225,0.5022574667594157,0.5744361039152492
0.3548741805659557,0.522957271857969,0.6193524609821588
0.3775386101672168,0.5240634521164877,0.6446753897359285
0.44201141199446514,0.5554004442202104,0.6094104163280277
0.36033951000719167,0.5709604650311552,0.5112331713486763
