window_size_1_RMSE,Exp_w200,Exp_wAll
0.33861284476442216,0.7289038270430264,0.5719126865758367
0.5770501099166386,0.7015357271224658,0.5024499156714335
0.34968947362420144,0.6962499623366968,0.5591590238532139
0.30705152459725404,0.7437688479057654,0.5154233186058801
0.2796724023254639,0.7214341983903148,0.4975232757085014
0.27951864871224985,0.7187398470586804,0.4930951934221329
0.2855897894362644,0.7288682221157388,0.5479278959368137
0.28108782226808304,0.747283346919014,0.5199644784599631
0.32051473206582115,0.6956715403162961,0.5509607658226423
0.2808824408135724,0.7096643267727414,0.4866741766064172
0.28551898617080795,0.7033321384834978,0.5423760183089363
0.282728241361972,0.7066932172071065,0.5307152188365176
0.3413334176381363,0.7138065456787441,0.6367231708794352
0.2985124743836822,0.7854901199553567,0.5819449118401093
0.2829576468143483,0.7052966351211802,0.5203444483623156
0.3203916495209625,0.6888469471404945,0.590674383547284
0.3182225674477128,0.720780365006098,0.5713118768242614
0.26928958977369943,0.7129548176513761,0.4883349774826983
0.33288561246920967,0.7456778730152089,0.5832170919084916
0.33943635130139965,0.7423515532562726,0.5800851256975963
0.2874148418405344,0.7393351158587173,0.5663664319982659
0.28761513112363213,0.6963987858836781,0.5774855895623793
0.29204617133426025,0.7041639341988001,0.549367307624624
0.278835345883083,0.7116500210908072,0.4831865125405267
0.28890663043936377,0.7295262560645609,0.5748767158919978
0.2874373040750283,0.7383551932030673,0.5616641673290739
0.4715595391590149,0.6936802363821941,0.5903162100403448
0.2914220807345392,0.7570489808863533,0.5713290073101507
0.2917966192644646,0.7419459548214857,0.5994091037158362
0.3618898260878218,0.7189301488127406,0.5808809903051594
0.2862592545655038,0.7022451283120453,0.5858963189035941
0.28932866289649894,0.6916866345258093,0.5661373394927317
0.34375932651330543,0.7131975259667956,0.5965818737525828
0.2868549024788782,0.7077932607519021,0.5816846204996851
0.4642191885645462,0.7190614229126551,0.5467774728421175
0.2841367090184147,0.7029588381243215,0.5218070885418015
0.2771833948452037,0.6641683511569023,0.5022574667594157
0.28385776789070843,0.6988129049699201,0.522957271857969
0.2934437481909855,0.6842829817303903,0.5240634521164877
0.326670145983401,0.7014083491433827,0.5554004442202104
0.33548601146891843,0.7352032031373564,0.5709604650311552
0.2739257525436215,0.6724204014930086,0.5430826337678748
0.2856509403315067,0.7272379390597394,0.5403349106285067
0.6783250324303596,0.7357615076348413,0.5434057259397024
0.2745580829092888,0.6963318339879521,0.5101078484172323
0.4512648570416065,0.6861745219831787,0.5864498993466342
0.37054598024544566,0.6986879548368837,0.5664090259719066
0.28253640098958577,0.7248650906195079,0.5191072457236436
0.29444365335338735,0.6972989250677535,0.5402682169947983
0.29598710992502486,0.7219469381896465,0.5916731814578614
0.28169314555735925,0.6991628951747326,0.540354695282805
0.29804957009476174,0.7514245348154697,0.6061934289598945
0.2813035658322227,0.7278904813297915,0.5139585385314147
0.34438607776684427,0.7008936703192791,0.6104669650059891
0.2816505798063048,0.6939516897165245,0.5312061700983108
0.330716553293177,0.730022154104493,0.5481845043796774
0.2896400300470447,0.7497079519171451,0.5998360328572979
0.28136472194855733,0.7470055805820749,0.5381156110425658
0.28596350795553255,0.7098457610807505,0.5074968882134687
0.28567557730899656,0.7456776159761718,0.5675102308235831
0.6141059233816962,0.6965600011426416,0.6084978285067847
0.2818956879728809,0.6813237609416393,0.516672761973932
0.36131108347078555,0.6826968182308114,0.5957342379207845
0.3149610958462694,0.7321648844967359,0.5494723162452209
0.3055723696497877,0.6789848506341016,0.5421859116007752
0.35302387756935744,0.7031582675138537,0.5335399571457771
0.2876122307364122,0.6614989466556136,0.6108377559811923
0.2852462446471847,0.7016360713224491,0.5801006216947596
1.2826460746849768,0.7225530905988182,0.5271531984311738
0.2872897401149967,0.6979810134079848,0.5562566883553667
0.37995394263238486,0.7112972409399123,0.5479464806926793
1.3308824402064487,0.7139934026060399,0.545833473636598
0.28915839926051384,0.7298267217015392,0.5163615513890683
0.37766690422306287,0.6950234835279799,0.549483218255465
0.2851450459630362,0.6914279406426715,0.5732016790760323
0.3495692977582673,0.7356061973018301,0.5331506563535232
0.28249050776852397,0.7168768089991663,0.5352328623136434
0.2911642128157837,0.7034495798086929,0.5869177572726659
0.31338009058846145,0.7031993344737856,0.5362937674305629
0.34938682799344944,0.7107278476370841,0.5827086544604757
0.29363734792830737,0.7206584290706295,0.5505775867556362
0.28544247960934804,0.7315843993329574,0.5447440632868441
0.2872058729835969,0.668641711928084,0.5887765636419171
0.2913767924183444,0.7560225696101576,0.5797068764645253
0.2894364129231137,0.7519213154134959,0.5226461792836078
0.3361409929558778,0.7179950255293417,0.5826227411836532
0.28349724998279163,0.7244430851882953,0.5304498513581476
0.2723319320524749,0.6673008364705657,0.4700577174804978
0.31410206712991556,0.6844334296447812,0.5322854413136155
0.336264674093197,0.6866904750408114,0.5887830050497116
0.2797923401619734,0.7210834992608927,0.5156690964770482
0.34212038960539876,0.7233340900560087,0.6060948692079651
0.3505825404379425,0.7431610766439263,0.6135514436616503
0.3362173863058032,0.7473964254374481,0.4856462686699703
0.2899543435407915,0.7009106372896305,0.5938419568345616
0.2999014667111321,0.8039936632799778,0.606108915748164
0.3661731744212568,0.7070921851239977,0.5400697183889419
0.2721721440834349,0.6860709888027375,0.5035222669710178
0.2804376054817112,0.7139070492061284,0.5267997525684969
0.35093381383459016,0.7020495188035838,0.5802231717563793
0.3421176984966869,0.7240832865774459,0.6220639261135926
0.8788702236267623,0.6412041682871582,0.5294539528241597
0.2854558766987389,0.7664423656784333,0.5257694810500214
0.2852996576820576,0.6959659572813733,0.5465543077023274
0.2822523500156212,0.7176078375928238,0.5452771604054598
0.27456521102480486,0.7276587392009255,0.4874793763935712
0.30621630657202753,0.727393613608984,0.5828832494652483
0.28289230780342245,0.7046690096062952,0.5471521292012529
0.2800994339288274,0.7026264024164667,0.5393414665282285
0.2769069385266196,0.6463337930868777,0.5145221219455172
0.2805806348096925,0.7117487772301435,0.4996175276790409
0.33405571612052304,0.7119518027730546,0.6082807296506066
0.3377278026224149,0.6896161735179404,0.5236557219480589
0.30977953390615814,0.6824882445877889,0.5391646138682054
0.2915933327878164,0.7205198324044036,0.5810174287995702
0.28550043449046536,0.7208401850352391,0.5353940204840426
0.2876355560884443,0.6761680919725489,0.5484055290215147
0.2764625741913837,0.7224794995181781,0.4948872350012973
0.28825060527728275,0.7139881423066121,0.5704149009649805
0.286066968002452,0.7162276621131578,0.5483858159882581
0.2843647674663076,0.6983735479367776,0.5334156507941803
0.28956641056775145,0.6972611231448107,0.4917067170747164
0.28720625644070075,0.72410760703428,0.5446828916266091
0.317546918925328,0.6874528060994477,0.5108145314489857
0.2881072867373897,0.7013087946989081,0.557970458905828
0.3653465195682788,0.7526394949595399,0.5613667389843428
0.5793162753899173,0.6829563790212856,0.5666858282360643
0.3146987386215168,0.7117510738660752,0.5232523392634251
0.2933572663243997,0.7598864191897765,0.5887866359982831
0.3087159416259424,0.7541548156517099,0.5608509568469631
