window_size_1_RMSE,Exp_wAll,Linear_w200
0.3041326501108164,0.5719126865758367,0.5909080339211424
0.575562445495549,0.5024499156714335,0.6435235519775785
0.332890853786956,0.5591590238532139,0.6330494360944686
0.2934091208626349,0.5154233186058801,0.6187452438733396
0.2692034472657699,0.4975232757085014,0.6314697444377985
0.26721403379816655,0.4930951934221329,0.6396641915628457
0.2681586993784085,0.5479278959368137,0.6199477489119236
0.26881217928473716,0.5199644784599631,0.6241684467114268
0.3106258444922593,0.5509607658226423,0.6004980849498018
0.2688978965548568,0.4866741766064172,0.6236191734817342
0.27465106324668165,0.5423760183089363,0.6227577593982645
0.27147184581418216,0.5307152188365176,0.613659798517501
0.31075561070671076,0.6367231708794352,0.6219132055477355
0.2763524672120444,0.5819449118401093,0.6154293439696985
0.27195638550270596,0.5203444483623156,0.642421466398015
0.313079169038524,0.590674383547284,0.6270956114300501
0.29690696789272125,0.5713118768242614,0.6133169269491681
0.2615960120903109,0.4883349774826983,0.6399797872658503
0.3215490307846111,0.5832170919084916,0.5844428115905539
0.30582208454432647,0.5800851256975963,0.6092824549359706
0.276905479267647,0.5663664319982659,0.6272209448113124
0.2792249551833498,0.5774855895623793,0.6091379460354471
0.27431070360601567,0.549367307624624,0.6095343926981176
0.2692195688911728,0.4831865125405267,0.6391088928637112
0.2714305517189269,0.5748767158919978,0.6032774068854146
0.26899965393124553,0.5616641673290739,0.6005008261520314
0.46176887822770524,0.5903162100403448,0.6044140468644629
0.2767434578510199,0.5713290073101507,0.6240811018056039
0.2787213477518601,0.5994091037158362,0.6528669020521132
0.3332467730193702,0.5808809903051594,0.6155060432740689
0.277849998368851,0.5858963189035941,0.6225998503243453
0.27454811987429495,0.5661373394927317,0.5981076084522223
0.3115728170947996,0.5965818737525828,0.6153619778090279
0.2802038971330654,0.5816846204996851,0.6453646076081156
0.4537445766826016,0.5467774728421175,0.6411791017585969
0.2691514578782365,0.5218070885418015,0.6412822934517675
0.2668121752026799,0.5022574667594157,0.6370288417342272
0.27629007752950185,0.522957271857969,0.6463118270243181
0.2842209413139661,0.5240634521164877,0.6259357890178001
0.30007220164891973,0.5554004442202104,0.6317005870323559
0.32389680832874895,0.5709604650311552,0.5946362686837265
0.26281312302014365,0.5430826337678748,0.5948450310507083
0.2725283990708313,0.5403349106285067,0.6352230088530465
0.6750256129618536,0.5434057259397024,0.6309771925378725
0.26907195899034725,0.5101078484172323,0.6293707958814769
0.44384223796254685,0.5864498993466342,0.616018906340785
0.34906263970292806,0.5664090259719066,0.6053613554136666
0.26875319205346315,0.5191072457236436,0.5990346477468127
0.28456233649147994,0.5402682169947983,0.6179683858587746
0.2830908383544958,0.5916731814578614,0.6375801333199771
0.26700459513818414,0.540354695282805,0.5953181735044065
0.2756589065053884,0.6061934289598945,0.5887991751444082
0.27114131444327194,0.5139585385314147,0.6455090658144097
0.31946179783262,0.6104669650059891,0.6219832365020321
0.2703131782972711,0.5312061700983108,0.6177502304509814
0.32092207942437445,0.5481845043796774,0.6423065719984068
0.2821022775953587,0.5998360328572979,0.6305504040844865
0.2710944990637623,0.5381156110425658,0.6312110758019557
0.27409541901729056,0.5074968882134687,0.6047812813053796
0.27381860724321394,0.5675102308235831,0.6230498141383143
0.6002666583166194,0.6084978285067847,0.626096356304119
0.2682144783976309,0.516672761973932,0.5659370072455077
0.33827587684620397,0.5957342379207845,0.5949295974399722
0.30602044903356057,0.5494723162452209,0.6139279879665466
0.2875364211586344,0.5421859116007752,0.6142411497010525
0.337554879968217,0.5335399571457771,0.6386720203189028
0.2801998355623463,0.6108377559811923,0.6211380207021228
0.27936595661084457,0.5801006216947596,0.6417293009540783
1.2879672776994986,0.5271531984311738,0.6342878428586087
0.27421931332479377,0.5562566883553667,0.6373532422185615
0.37294149014257527,0.5479464806926793,0.6140720725662442
1.3317798175948972,0.545833473636598,0.6161161075399675
0.26710216965283395,0.5163615513890683,0.5912579684569069
0.36892191227697213,0.549483218255465,0.5990649955292121
