window_size_1_RMSE,Linear_w200,Linear_wAll
0.30749298590289287,0.5909080339211424,0.6253839740921286
0.5766015066365587,0.6435235519775785,0.4311485009153133
0.3192659243631645,0.6330494360944686,0.5006125633931984
0.2760884591219262,0.6187452438733396,0.4187063814476406
0.2478461813105643,0.6314697444377985,0.4564086992414652
0.2683995918937359,0.6396641915628457,0.5312676032290026
0.2568343038131561,0.6199477489119236,0.4609689560400917
0.2632911951545942,0.6241684467114268,0.466575761453284
0.2827233796284239,0.6004980849498018,0.41226627951852857
0.2805073755610451,0.6236191734817342,0.5627544323057572
0.24712042860009972,0.6227577593982645,0.39175221094168505
0.25476578375223846,0.613659798517501,0.4810486685673747
0.3122174605058002,0.6219132055477355,0.631571635981815
0.26716563665998505,0.6154293439696985,0.5549202058929488
0.27869445470159643,0.642421466398015,0.6585456400595074
0.2840945187039806,0.6270956114300501,0.4047878789588072
0.3078068205574147,0.6133169269491681,0.6417656486203063
0.28385824718593894,0.6399797872658503,0.6057592538778036
0.29893666107527267,0.5844428115905539,0.3828959281874413
0.31184630533902696,0.6092824549359706,0.7110362902995943
0.2657792722183895,0.6272209448113124,0.5848745336874884
0.23250694161407906,0.6091379460354471,0.35573890933817576
0.25525499195152973,0.6095343926981176,0.4704605428889878
0.25894932079690136,0.6391088928637112,0.4337588479560431
0.2546216420256078,0.6032774068854146,0.4897906332765751
0.25098306956576383,0.6005008261520314,0.4579163355202938
0.45371264662684757,0.6044140468644629,0.3853469108018514
0.2295863132722816,0.6240811018056039,0.3591981530664107
0.2784707512658464,0.6528669020521132,0.5353224387620442
0.3223261615824246,0.6155060432740689,0.7530469558429062
0.28215646353357987,0.6225998503243453,0.5716552452687826
0.2529981468673184,0.5981076084522223,0.5048120589133516
0.3160654283633179,0.6153619778090279,0.705219902966517
0.289276689760466,0.6453646076081156,0.5877632767651884
0.4532313364142706,0.6411791017585969,0.5441752476794668
0.2644113398148048,0.6412822934517675,0.4901138833497638
0.2743375699265034,0.6370288417342272,0.5744361039152492
0.28939687048116913,0.6463118270243181,0.6193524609821588
0.29638987050346605,0.6259357890178001,0.6446753897359285
0.3085190077266179,0.6317005870323559,0.6094104163280277
0.3118916930228925,0.5946362686837265,0.5112331713486763
0.30290497473317124,0.5948450310507083,0.8556034321079445
0.23397240301511465,0.6352230088530465,0.35125129964754337
0.6801235414249539,0.6309771925378725,0.4042299246751007
0.2505109759270721,0.6293707958814769,0.44798559238798985
0.43605503058523476,0.616018906340785,0.5321592720201396
0.34729439097448095,0.6053613554136666,0.7655821975295217
0.25277362487281513,0.5990346477468127,0.4493753787375217
0.26194641580732525,0.6179683858587746,0.43535786281202254
0.24898608925558308,0.6375801333199771,0.4232636259539195
0.2601427681479093,0.5953181735044065,0.5014278682892158
0.22671911493740976,0.5887991751444082,0.3252654705115199
0.23748340140700286,0.6455090658144097,0.3608083231020908
0.3186820478571437,0.6219832365020321,0.6333015144162438
0.2564887445717028,0.6177502304509814,0.4879115159231449
0.29648829773301794,0.6423065719984068,0.3524295759304581
0.2540373729864758,0.6305504040844865,0.4806458417907773
0.2330648859410592,0.6312110758019557,0.3304819260541001
0.26690854206735987,0.6047812813053796,0.5566230859782282
0.26104815851779584,0.6230498141383143,0.4913921903897341
0.5771980073602396,0.626096356304119,0.6709156559515311
0.2809756496114409,0.5659370072455077,0.6070030302062509
0.3345501734141548,0.5949295974399722,0.7237158735810305
0.27530614233738254,0.6139279879665466,0.3843661311387476
0.300483135216568,0.6142411497010525,0.6341234327826623
0.33980900078850357,0.6386720203189028,0.6703529621048366
0.27104923190995067,0.6211380207021228,0.5957391249174209
0.2318115792336518,0.6417293009540783,0.33042800253326604
1.3061465048651864,0.6342878428586087,0.3703967426223534
0.2611101237028658,0.6373532422185615,0.5074690481877869
