window_size_1_RMSE,Plain_w200,Plain_wAll
0.7783395753612873,0.928713496616782,1.3799880615426332
0.7520357871097586,0.90748085438307,1.2784335019336823
0.7666198660866558,0.9196997507753438,1.267595482336543
0.7729032697334313,0.8938084623200659,1.1171898922147447
0.8272474465721111,0.9433445739742063,1.4003733417068
0.8619329458506362,0.9759281114524464,1.8321923468517736
0.7876136352298163,0.9270149722613016,1.1331387772757175
0.7426507176472037,0.8800898208188501,1.119639477574225
0.7776936673000592,0.9379245960765612,1.2115211272054909
0.8603246259200414,0.8686196329681646,2.467651957622808
0.7158069933197375,0.8564893831581598,1.088693995942188
0.7365558404364314,0.907564818152533,1.0952327410220677
0.7789978155378393,0.8872369960183726,1.181415440906161
0.8701949547870477,0.9655522543300776,1.2099049909637778
0.709902200453741,0.8907908370601114,1.2601917420657778
0.7193944812308471,0.8677513494994948,1.075753088951083
0.6677326651187826,0.8381710076877043,1.1077841036927103
0.7839732171134627,0.946115345865611,1.1479383051576708
0.8615543284332675,1.0117490625569454,1.4402382954301078
0.7067860949106939,0.8415400854363065,1.30396872791791
0.6967567422080011,0.8500136471767804,1.1029787641412705
0.7962825170365517,0.9627217952682906,1.2817759391676191
0.7663621084407152,0.9164728983133144,1.186505717612092
0.7262730051588316,0.9304142245999976,1.3127026209351516
0.8127911844559308,0.9300447173449848,1.3102925362743139
0.7148063081216324,0.846938109430564,1.2623802644708535
0.7981602142531784,0.9268460435709928,1.5187866450737453
0.800786220120608,0.9057025432237932,1.219782569838323
0.7544393250795609,0.91037689267193,1.6145001656887743
0.7093803804621803,0.8494927629618438,1.2598140971455007
0.6953459419395088,0.8572815014047247,1.0161808834091837
0.724262596249448,0.8698191033202299,1.1552352545425248
0.7154854182074106,0.8782143885618079,1.1325416803342452
0.8158960173950648,0.9644152495795209,1.223687441863652
0.7833367754194399,0.9773014172179432,1.022314568658185
0.75059434177304,0.9501225874337276,1.1907166919028525
0.7479336925411422,0.881389389584259,0.9991215700738572
0.7980378653928744,0.9162887703031208,1.3511710686170733
0.7686622430750294,0.9193424396752924,1.453059423179827
0.7228336017508941,0.8864916876631501,1.1524183306604423
0.8048333506341135,0.9570134742159526,1.2323989885435334
