window_size_1_MASE,Exp_wAll,Linear_w200
0.3052515086727972,0.4323173311112857,0.4876326390315889
0.31734609768827665,0.4350164935737056,0.5048816806465471
0.2935587409602573,0.40594346785670304,0.4759185022821642
0.3102685113334573,0.4379087150319173,0.4687949767323952
0.33089058940648813,0.4581425832737827,0.5230709579952925
0.3118547451996698,0.444015245596456,0.4916913802988219
0.3379880090510805,0.4711074082300801,0.5133372235057975
0.3140447364089744,0.43989130972437857,0.4802265341392716
0.3289873169436651,0.4852109589848376,0.4641978962874208
0.32081868334065256,0.44017600576538,0.5227707971991259
0.3092219350659124,0.4271459199492358,0.4901167896480386
0.2902347928501395,0.3972015508328879,0.4792862600048701
0.31144759201742755,0.4280375851901419,0.5144271358059376
0.31870381806273557,0.4417597350550153,0.5086087498738883
0.30570972610187624,0.4415635349708376,0.4883500239587365
0.3037210321928114,0.42466073333814497,0.4794152497158792
0.3256473086573349,0.45376574877016296,0.4903813251537155
0.3275991664807409,0.4661146377839278,0.4973619598650578
0.30353393548602237,0.4199463790676387,0.482867184866849
0.3264681207676705,0.469047878918197,0.4921405374120264
0.28377624349432373,0.381352267784785,0.5042266854984826
0.31802184566007785,0.4527791810109318,0.488001043666595
0.3248046285455718,0.4610232819417485,0.5066115251579203
0.3078097774200703,0.4298121808556079,0.469775176629956
0.31645910606054245,0.45992361084587396,0.47389703583732395
0.3254222742917381,0.4546143599337873,0.482480151398801
0.3375730304007942,0.4985540845336725,0.497679586911428
0.304597624540758,0.4085796938893125,0.5153525584125159
0.317656827572862,0.4334323087726936,0.5400032707850332
0.3182082310071707,0.4342962162227073,0.5025827145861271
0.31414576750584466,0.4305136165955645,0.4957867262147119
0.3102140208795292,0.42356214142487614,0.4927881660337294
0.3060000220153815,0.4264728897021744,0.4911438384746735
0.288360390510123,0.3874693693541799,0.4970024603400108
0.32919184400074253,0.4651126931029619,0.5080837199736984
0.30967373564581024,0.40988249556857975,0.5375805129000562
0.3053125192710863,0.4211467527468621,0.4852819101179454
0.33004772035063956,0.4650985776108534,0.5077911557267456
0.3192396337962811,0.4510244882649628,0.5032088919348038
0.31961095748508184,0.4484939464173697,0.5011367783411328
0.31625342004496154,0.4430476179211228,0.5049979642340502
0.32078627789193576,0.4516456649572973,0.5039714485450633
0.3137790911146238,0.4347115884869794,0.482949782750666
0.30601013071005845,0.4212658237555839,0.5136395948654988
0.29987986111430087,0.4002154954009904,0.4770881444602574
0.30844014371104933,0.4337014507583569,0.4710360273765968
0.3116950280955686,0.4367333204559025,0.5047879619943871
0.31056131070767523,0.42841826204067207,0.5154864230099301
0.32032675221085927,0.4418554474378973,0.4975204628652384
0.3246826587357341,0.4529186644137321,0.5059263085899307
0.3244604283233049,0.4667907008635673,0.4965366982253525
0.30763687331059364,0.4389449140027744,0.4774237768243823
0.3227733761157371,0.4427942276609734,0.503692766344641
0.31257150124792216,0.4353857568996419,0.4877887329642794
0.2948603277193709,0.4062064021163546,0.4808928899947439
0.31391317875069513,0.4435094798974217,0.4760708388047293
0.29192337526146966,0.3998526766103005,0.4987051903451912
0.31193565843160587,0.4461357615756997,0.4949592041823457
0.31246005194446846,0.4379841782673804,0.5133745107552505
0.3164789903656212,0.4472842758057603,0.5206860936024975
0.3307191548671444,0.4771541415822746,0.5044013916037108
0.2986275732092031,0.4136337207331575,0.5169701523484759
0.3135737346718856,0.4451857494551819,0.4695923423236698
0.3116272153459961,0.4272621587576528,0.4873524499633157
0.31002382175055937,0.4376528228545803,0.4926240676306905
0.30852907660258316,0.4249247314275402,0.4783161699753119
0.31461159349667844,0.44549754411441467,0.4957756671106383
0.3199508490982336,0.4556735113406804,0.4993105511681927
0.3119128679884973,0.4255654899056357,0.5049272002152992
