window_size_1_MASE,Exp_w200,Exp_wAll
0.31634562555418144,0.5485042063286414,0.4323173311112857
0.3161247912335433,0.5215653233898839,0.4350164935737056
0.30827011695089107,0.5655478209976491,0.40594346785670304
0.3263600860841431,0.6137888685652024,0.4379087150319173
0.3397623441158326,0.5841682699919661,0.4581425832737827
0.3286770794170477,0.5907578018886596,0.444015245596456
0.3441764735790314,0.5508993978995239,0.4711074082300801
0.33338591199705164,0.6122999923538747,0.43989130972437857
0.3497583052537215,0.6037311175475216,0.4852109589848376
0.331565352916732,0.6083155366218803,0.44017600576538
0.32932590119848015,0.5803677929795671,0.4271459199492358
0.300261522005897,0.5973680058082169,0.3972015508328879
0.3247760646019752,0.6121029458773536,0.4280375851901419
0.3331721138196639,0.5911222015290221,0.4417597350550153
0.3169126440578196,0.5443537085159654,0.4415635349708376
0.3146747919152321,0.5633346737318603,0.42466073333814497
0.33155111577551205,0.5584106397332997,0.45376574877016296
0.3434994375465713,0.6124204231398533,0.4661146377839278
0.3136468184615872,0.5453498942734009,0.4199463790676387
0.3345609269146616,0.5827686196721261,0.469047878918197
0.28726879499193936,0.5591602788105137,0.381352267784785
0.3313707883377853,0.5573514873572365,0.4527791810109318
0.3321169829064037,0.5505068323015739,0.4610232819417485
0.32612152893249813,0.6367361881494306,0.4298121808556079
0.3270021402439194,0.5833905162623495,0.45992361084587396
0.3347453124182802,0.5802096456940816,0.4546143599337873
0.3454503081035095,0.5538499695761641,0.4985540845336725
0.31122464505554676,0.5592553565145315,0.4085796938893125
0.3274619645879843,0.6394610648506145,0.4334323087726936
0.331187840601457,0.6070408112949546,0.4342962162227073
0.31833987951412945,0.5576073381442709,0.4305136165955645
0.3158916749937362,0.5699418500960394,0.42356214142487614
0.31923734959775024,0.5882361746194826,0.4264728897021744
0.30121198190951326,0.5802524008387074,0.3874693693541799
0.33857181023299726,0.5649323407913914,0.4651126931029619
0.317564152103861,0.5739319435239879,0.40988249556857975
0.3187520843984311,0.6250534931175029,0.4211467527468621
0.3417567485586086,0.5929914010561244,0.4650985776108534
0.33140078044893967,0.5844316393133421,0.4510244882649628
0.32859473190746663,0.6066428250142628,0.4484939464173697
0.319983627528613,0.5665041757607898,0.4430476179211228
0.32183525174268446,0.5386051440109407,0.4516456649572973
0.3220708058346433,0.5680520877163837,0.4347115884869794
0.3168800698603181,0.6100322604774409,0.4212658237555839
0.30993502710473125,0.554931434752247,0.4002154954009904
0.3339396346832643,0.5928241825042494,0.4337014507583569
0.3188831029458517,0.5668809360850484,0.4367333204559025
0.3166266192190903,0.5609336074285114,0.42841826204067207
0.3184327351528826,0.5748964014485771,0.4418554474378973
0.3366860527504191,0.6031128598718526,0.4529186644137321
0.3360448347233862,0.569489850312793,0.4667907008635673
0.3174614497688027,0.5618135923161273,0.4389449140027744
0.3268972229739447,0.5243253082820882,0.4427942276609734
0.32412638503679425,0.6211491352094997,0.4353857568996419
0.30551264880101414,0.5828803508778959,0.4062064021163546
0.32418723679332134,0.5622031910909591,0.4435094798974217
0.30140699957888256,0.5676645252318104,0.3998526766103005
0.32331389562058477,0.5698189014951116,0.4461357615756997
0.31645645550643153,0.5733541467428956,0.4379841782673804
0.3271999783111156,0.6004726503438313,0.4472842758057603
0.3486164019554962,0.6001028426843721,0.4771541415822746
0.30719744375010516,0.6129856359603787,0.4136337207331575
0.32412488712284926,0.5578065429285877,0.4451857494551819
0.3284023679845085,0.6050298999785783,0.4272621587576528
0.31904862821002916,0.5890221839198228,0.4376528228545803
