window_size_1_MASE,Linear_w200,Linear_wAll
0.19847107672935002,0.4876326390315889,0.27290976931570704
0.20817565158951812,0.5048816806465471,0.2823156574057244
0.21270658611965654,0.4759185022821642,0.2973138983006826
0.2112698512670765,0.4687949767323952,0.3039730707547818
0.21629651941101094,0.5230709579952925,0.2892140414944455
0.2019464839762694,0.4916913802988219,0.27558271702362336
0.2030607224695589,0.5133372235057975,0.2734822934494193
0.21401730838135888,0.4802265341392716,0.2731809557881997
0.2033295370167885,0.4641978962874208,0.2908508463756311
0.20422729960702007,0.5227707971991259,0.26967320445640103
0.21500496991940132,0.4901167896480386,0.28245450622439994
0.2048682352512552,0.4792862600048701,0.2683546082592197
0.2164770500271754,0.5144271358059376,0.2906178307484665
0.20399940494293126,0.5086087498738883,0.2823699952778056
0.20661424622752406,0.4883500239587365,0.31479073676078473
0.2064293122283,0.4794152497158792,0.2949862775091636
0.21165887953069656,0.4903813251537155,0.30518106917550397
0.21045668284847707,0.4973619598650578,0.27696722964087434
0.21003897711582453,0.482867184866849,0.2927992100214642
0.20557272163993776,0.4921405374120264,0.26005210408775825
0.20987882651666134,0.5042266854984826,0.28946160815901506
0.21671096482951271,0.488001043666595,0.2858131990226303
0.2121152845571249,0.5066115251579203,0.2970601465520253
0.2079510389419447,0.469775176629956,0.2781370902720709
0.21385820745875364,0.47389703583732395,0.2903969596929917
0.21064346435856401,0.482480151398801,0.2793207487799332
0.22219235556352218,0.497679586911428,0.3004308489904273
0.20766232033933377,0.5153525584125159,0.2676470179710828
0.2089745176486786,0.5400032707850332,0.270599419349918
0.21404038661420427,0.5025827145861271,0.2833474704680548
0.22133299140066037,0.4957867262147119,0.28355879152085
0.21221740756897986,0.4927881660337294,0.2948957588761821
0.20879833072566137,0.4911438384746735,0.2744575313668335
0.2056389540310226,0.4970024603400108,0.2990347828633664
0.2098899682239624,0.5080837199736984,0.28057070151396546
0.20655389793920811,0.5375805129000562,0.29722574627328546
0.20512092194121917,0.4852819101179454,0.2630327237901764
0.22213928029160443,0.5077911557267456,0.35602240170549443
0.20465106110905526,0.5032088919348038,0.2928008249504829
0.21404045862731327,0.5011367783411328,0.2831163513995779
0.21082473034254975,0.5049979642340502,0.2825042748567399
0.2097304887853892,0.5039714485450633,0.30894307866894083
0.20687840631721477,0.482949782750666,0.2722110055077661
