window_size_1_MASE,Plain_w200,Linear_w200
0.45005935047625145,0.5005213877879764,0.4699422368250111
0.49239251825231456,0.5004342688294386,0.5179895020537536
0.4139325391696931,0.5075914574989951,0.5087618177955331
0.3981458283751456,0.4948704597011828,0.4961637744659873
0.4297051418975911,0.5042250589143231,0.5082327413344099
0.4337817682551076,0.5103623556945814,0.5145338021666666
0.4306207938273875,0.5256951327251409,0.4956081363720217
0.4273184825937888,0.5062746649138701,0.5023710323966657
0.4124226479764397,0.5157784527037035,0.4806934589103802
0.3987451825595087,0.4647855080079368,0.4997827303272863
0.4321395393366034,0.5289514362536643,0.5007716009921019
0.4056861804099647,0.4908290633390664,0.491839403973495
0.47515252469092284,0.5108290712801727,0.4962154978270547
0.4132756946384597,0.4844401800373272,0.4919378597231776
0.43084018048736783,0.5045763272241731,0.5168480379267271
0.3994257434853625,0.4976257719361715,0.5024283611715477
0.4282863213378906,0.4816950223920359,0.4881173477797528
0.41957213274683597,0.486933560791627,0.5152926348015889
0.4108735798730643,0.5104965644515163,0.4655395686750035
0.4599488167861101,0.498577187258042,0.4856176942096001
0.41258381562337026,0.4865316968499861,0.5017991051761302
0.410922798304328,0.4913453534870662,0.4872647915223051
0.42144246030513344,0.5100120281091481,0.4886154512521997
0.427657940964611,0.516542604112091,0.5124511906946246
0.4049266190460068,0.5007489589891044,0.4834763040272279
0.4270433369824015,0.5458545964238978,0.480570544368824
0.4517255448608352,0.5181220734783679,0.4829042540588773
0.4207347021885582,0.5017064004427229,0.5020380345747744
0.41712028082352165,0.490872370047185,0.5257697080596518
0.43323561695986257,0.5001557196793394,0.4920425421844659
0.4234414724573866,0.5056352878999284,0.5008545709851923
0.41437423646878685,0.5152607708428875,0.479184894081009
0.47448739252550814,0.50087057716684,0.4896983512291889
0.4295734331558981,0.4984347041631087,0.5203192285275032
0.46213804269745823,0.5227936376531324,0.5148912858045163
0.43086000997242235,0.5020792808893301,0.5166872346938564
0.42583852019286733,0.5044385870666244,0.5129240355300473
0.4124762228475015,0.4591470114110978,0.5182954736030452
