window_size_1_MASE,Plain_wAll,Linear_wAll
0.3952182111946702,0.7518314497334564,0.4967524679525224
0.3449952234252416,0.3808031411628914,0.3422534762677919
0.2788436637365996,0.5255983950530011,0.3970852255307832
0.25141046088441804,0.4149216575306012,0.3332939210228878
0.2273533746887456,0.43070458178697263,0.3611615019513666
0.30205330495715255,0.5142586603192819,0.4234051676380104
0.28177388054454466,0.4477998765125157,0.3659188121834874
0.27715083317277545,0.4535998499598821,0.37131972835359617
0.24074223941548284,0.3379912793081348,0.3268369600759383
0.32371315250885063,0.5522291635249785,0.4490150459918569
0.22478077634932606,0.3934542081298752,0.3101243116695617
0.25493006175059607,0.3706875606107433,0.3818601507057641
0.4092855029974971,0.5778739218222876,0.5034697145792117
0.27252906186115466,0.4516582711535056,0.44082169367915375
0.3060853205852043,0.5676079334920456,0.5216142542988496
0.23408702178409174,0.3489419986317647,0.32184423970960224
0.3865745725974101,0.72901367051591,0.5107311563887987
0.33266662442374595,0.5202190114151548,0.4797596540669087
0.25476226336878427,0.4069881725329265,0.3028949959343513
0.39839496608404945,0.6169444410682113,0.5642524728064553
0.27499082629165306,0.4421555092620933,0.4616219476954783
0.1914823667191368,0.2758978315148989,0.2827495744303838
0.26161791615678703,0.4718683992293265,0.3732141141758464
0.24552376538375614,0.3858051821624338,0.34281206490997035
0.2674190532694938,0.461505053034558,0.3897156585177958
0.2663470627556503,0.5804010157786273,0.3635944115836561
0.33304426317311275,0.32668508430213544,0.3061599600002091
0.19729119656550523,0.32539757932670904,0.28457810762499003
0.3224123333391616,0.4608803813407516,0.42606510387866336
0.40852465679348293,0.6659531126499806,0.5977115746249004
0.3220591241781062,0.557559116172449,0.45364845918498503
0.2602036707006709,0.3902146228119502,0.4002364824644337
0.4138400917530837,0.6667346682023049,0.5592597586283254
0.33353548632940944,0.6394353904081523,0.4680464200655022
0.3738363346376881,0.5738986078079804,0.43327549919392333
0.2625259217986669,0.4130191881665848,0.38765126687048507
0.31578080494981015,0.6127901176533588,0.4555152165832152
0.3407436950727816,0.6072154859077691,0.4898415304322633
0.35287673800311764,0.5564631527470923,0.5105405433667578
0.39727713873928994,0.6252152904790406,0.483827482165545
0.29539681820267083,0.5032921868657271,0.4061748734175679
0.3501877899376378,0.5696312105364748,0.6691377216522291
0.19311075767521943,0.2990407678956802,0.27997530118033753
0.4608829211029653,0.3139253778046169,0.32148023812801435
0.2415467507527936,0.3897536578040682,0.3551590251036855
0.34553919811541456,0.4889481694912458,0.4218530873822437
0.3613869113584866,0.6274782770567983,0.6079698636830071
0.24414852962609282,0.5320999578367797,0.3566858733791357
0.23906441932554753,0.4309946059864936,0.34577492714954583
0.2355633728131753,0.524285005740012,0.335583706739888
0.2719571745186323,0.5045994450236522,0.3960162115199528
0.1950932240931383,0.28777671319034204,0.25808742362324105
0.20537364123924248,0.3558074821429648,0.2871313968041418
0.41506784731788066,0.5858982053250021,0.503650674401914
0.2650212972182253,0.5067755289682939,0.3874149654386761
0.23335814354993756,0.3467209982653555,0.2795622549140772
0.25964285156385686,0.4229674101149842,0.3811429505848059
0.19655639137902564,0.32025944375274096,0.2607630420856695
0.28365637081850037,0.5284851519266024,0.4396183844948975
0.278644844653232,0.5662019887654238,0.3921416516359295
0.44221803873071736,0.6087679835907529,0.5332145876740477
0.3345838986803312,0.5614473112783787,0.4808848209367467
0.41260163951883544,0.6747832092189842,0.5758986650528961
0.22093043633898873,0.3024116422065191,0.30547337914520484
0.363326322014453,0.7119909281413945,0.5029662972390739
0.3507906826795677,0.6801100016710556,0.5305493704268626
0.31026190839725126,0.5701422205016345,0.4722841697727944
0.1972119236684896,0.2901232695551123,0.26235296476106074
0.9939802553917865,0.3350926962526817,0.2942343405931479
0.2613123095118218,0.4200351839983668,0.402776705692933
0.3572295472291172,0.5859020762533677,0.451325044237741
1.0121611092161993,0.35446377728848755,0.2949920926434773
0.23849831572029673,0.4218254785959121,0.360676319899204
0.2671213990587343,0.3604666936399388,0.30819770878804004
0.24109505443103552,0.4089471388026101,0.3516833202033929
0.31255036572260453,0.5756939292283474,0.40543317971862897
0.2253251008251538,0.4599251278989501,0.3231459214967047
0.217161775788993,0.3459305325273687,0.2918564648472357
0.31925158639999773,0.5261884480805086,0.4333212049890973
0.38833542156061573,0.6084850349889437,0.4901483235445159
0.21752540548941135,0.33676153778994444,0.30450463655729704
0.20487603234249568,0.30995665549331763,0.2967302208519325
0.22977493017066325,0.3266731785850025,0.34549995335541106
0.32156584456322795,0.5253692535019953,0.4724358831942109
0.2553097864474362,0.4542665687418562,0.3748357337841861
0.40889601848573326,0.5448476179741294,0.5203380263649926
0.2268522687968347,0.3482663043562517,0.32653444783808633
0.1941254729397803,0.2889108020285562,0.2724035482699861
0.397458356954585,0.7202104416119713,0.4862722877052353
0.4329114854774023,0.5785093719490138,0.5690400283454271
0.2603771783561596,0.4643850382048648,0.3862858792657752
