window_size_1_RMSE,Exp_w200,Exp_wAll
0.2679105141521306,0.5946938907309347,0.4596901289616096
0.31821719456306935,0.5665432199961308,0.4075676258769267
0.2739065739934631,0.5629146715926558,0.4533022860666311
0.2461823628175363,0.6002413597187215,0.4173819342548412
0.22396389918035153,0.5834865700299382,0.4024324909915288
0.22363378287237026,0.5777018815142667,0.39652205307072297
0.23053699862274196,0.5884783276042012,0.4421174843538389
0.22616803528648227,0.6037932846654694,0.4191834700003938
0.25228273128516787,0.5631887242420691,0.4454090134925581
0.22528287975878508,0.5734316169895011,0.3903003764724719
0.22836853786046243,0.565343798860444,0.4384449306316469
0.2279130515311806,0.5707331726190059,0.4301950563309712
0.27170745042623956,0.5817222501347861,0.5087267544065289
0.2397380069288331,0.6387012580639448,0.4701311962209408
0.22704196439906446,0.5733337541326701,0.4204795950047304
0.251637336874988,0.5544967937647679,0.4775989934589854
0.2540370999703893,0.588161360495086,0.4575846049887234
0.21476393225037632,0.5785707166211914,0.3912609549023338
0.2597238717655779,0.6054960502472968,0.47259088737878097
0.2688462326562256,0.6088103808829601,0.4647921214229955
0.23122716733576623,0.5963008919760067,0.4578446361152058
0.2312718805188868,0.5610553178664801,0.4679488883720647
0.23613049047158033,0.5669189130846334,0.4457692759536551
0.22324338578374636,0.5734750151721951,0.3895985452701684
0.2323168910820425,0.5899455830434444,0.4643683761466136
0.23180030055873133,0.5990847738864055,0.4551203926519791
0.3536137988974819,0.5592327952702185,0.4797053244344786
0.2351628120818883,0.6151658947535431,0.4622170211217165
0.23339803737914233,0.6008834269608022,0.4845497171756771
0.2894546922227503,0.5854609437628967,0.4648054387902211
0.23056372139218495,0.5665025838384683,0.4709120238001094
0.23270710370949654,0.5608994736413996,0.4578009844693173
0.2738028125605842,0.5811178110163933,0.4761880645216276
0.23037252687226809,0.5752651542607061,0.4681855483328218
0.3412572226283156,0.5831235969225749,0.4416066722154217
0.22870156543018255,0.5683990578231654,0.4226754393093779
0.22248726021285797,0.5355759044073021,0.4047428981713224
0.22977384121420574,0.5624214923740353,0.4133814212169191
0.2338345446832431,0.5510830063946257,0.4159599319380409
0.2598592523424671,0.5726094410016883,0.4439059246990926
0.26561552556070894,0.5944057985695553,0.4614752266931227
0.21697711505058095,0.5398514903878613,0.43609244518015866
0.2312482301248185,0.5843778260463233,0.43576663564055934
0.4694162446931699,0.5950877371895017,0.4412040660637301
0.21940197376828338,0.5632760836961368,0.4129102483630884
0.3289271965397781,0.5528196780131703,0.4724613385429612
0.29758156474756026,0.5716022967394472,0.45489844147567
0.22774447482170365,0.5828299416457514,0.41897762780951103
0.23521336680800858,0.5655742582618881,0.43656856625517776
0.23923922765158412,0.5813025322783983,0.4792971383120741
0.2260493024356062,0.5622317273395546,0.4357430302227125
0.23998343830495628,0.6059189755664102,0.4909348603277578
0.227006513282883,0.5877842529587946,0.4155468463805527
0.2738097930614406,0.5708750808324363,0.4868478017264592
0.22703708899242103,0.5583727014091643,0.42835558669317103
0.2616609499731778,0.5893483390556358,0.44430123042290776
0.2337256261821461,0.6052396737960632,0.4864013542071815
0.22581314039271178,0.6112477433891141,0.4363371777659086
0.2303552600986285,0.5722150591578945,0.4087156413609307
0.2304041482271658,0.6090885172919256,0.4592514102063214
0.43557037382913294,0.5663163373061939,0.4880835682490631
0.22731967685536034,0.5508213634074647,0.4107395823788719
0.2881629256994277,0.5575906248975873,0.475380508296872
0.25046145982152135,0.5904466750599104,0.4435322797346666
0.2397563103704588,0.5477954753247378,0.4300352551005849
0.28267771211285875,0.568731441155499,0.4245700513084861
0.23084714839449433,0.5307560398917761,0.4933210425854505
0.2299398609199563,0.5664655652954412,0.4698583562295241
0.9591369307432933,0.5836392665853531,0.4265475244629303
0.23012900644523687,0.5624186102203642,0.4486059234178329
0.29436755291714267,0.5737301010159708,0.4380383215530743
0.9918590045286935,0.5771587462439084,0.4425641363786008
0.23350120672941657,0.5889039451654079,0.4183530829246086
0.29504196022390916,0.5610193891444664,0.4456616789228675
0.23154310133461023,0.5559294315329223,0.4643866728037677
0.2752990199104739,0.5937237478128263,0.4298662404824586
0.22893656681128974,0.582848471276816,0.4350629695053845
0.23397928209808797,0.5679800577529407,0.4752137045670611
0.24907226922895048,0.5664888091153933,0.4314295088992064
0.27851795317930256,0.5783675814205839,0.4689160379172869
0.23554881091720617,0.5820878955010048,0.4466890459393438
0.22853027066805162,0.5940382466826493,0.4404972017605778
0.23130642418608915,0.5381864565436699,0.4781206017105981
0.23292993242384002,0.6161547221531977,0.4659789900389474
0.2337533340045426,0.6077754481469487,0.423050282942072
0.2689482961982185,0.5853746930382208,0.4669491515597729
0.22643383550695872,0.58905888290745,0.42877628617486335
0.21835261292641167,0.5395950002551015,0.3776469599160386
0.24730564263907553,0.5539630275437825,0.4240369164876236
0.2662252792081537,0.5594384374565171,0.4697657927892724
0.22449926311766252,0.5813931424263643,0.4166519108171509
0.2717085194229598,0.5897994190844892,0.4855095129611328
0.27882330281135526,0.6038565589638362,0.4917108443954291
0.266497663715936,0.6121565289124606,0.3919288872368518
0.23341914607402342,0.5658231644599389,0.4820291994273477
0.2442275392622114,0.6580822504176834,0.4881392186804312
0.28159805577037655,0.5695397247657997,0.4372853523808706
0.21963286842707483,0.5517134391140773,0.4048365090521333
0.2272375476561831,0.5753716644861955,0.4266651172310164
0.27559742500047746,0.5700694217081314,0.4644193230234597
0.27142928335798255,0.5880905798746988,0.4973139114908083
0.5869241122225517,0.5165127755528232,0.4213440913733052
0.22965509670392342,0.6203736000831189,0.4243845080751057
0.22982240464214188,0.5616461514449929,0.44268443391797146
0.22753172442199548,0.5788195413563894,0.4403146088769823
0.22113068192023,0.5873966969313733,0.3948125209726632
0.24713820714505566,0.5872022278309492,0.4627527604508601
0.22853010770726911,0.5678101545157513,0.4434362013011416
0.22498114549887396,0.5722541470855215,0.4342610711356186
0.22196161950189996,0.5195602629168318,0.4162343132178538
0.22522854665263906,0.5795902220843494,0.4044897754005479
0.26764836069376574,0.5798477309660067,0.4878060087524285
0.2710220700355083,0.5597850469992025,0.4145981482915323
0.24728889375422614,0.5537317379394249,0.4364273938668041
0.2337129613319089,0.5828250185145558,0.471004976151773
0.22879528970033441,0.5864804982368721,0.4326966197452575
0.23085981864967933,0.5452493351662477,0.4449979956083238
0.22377638938329303,0.5851812722108538,0.3995839430004756
0.23377790864816028,0.5763790755906745,0.4614357356360474
0.23164439970328057,0.57959732475607,0.4450444658943615
0.2273486964792646,0.5628617719828608,0.4297794525498743
0.23106659740064392,0.5609374205777682,0.3916446807066984
0.22889636379942893,0.5893292953865903,0.4398537601149957
0.25088063575155706,0.5576504411236259,0.4140049642022967
0.22941662133906549,0.5664672898711921,0.4506469933018209
0.2835748383077692,0.6100054911609277,0.4555971465925097
0.42530096208287616,0.5513338256370005,0.4574399717789502
0.25122746415018987,0.5731519390887319,0.4245435377073887
0.2370858358673547,0.6152233343919336,0.47731133135858095
0.24668345758800755,0.6109201514540389,0.4543110890924333
0.24424356852387288,0.599707632125291,0.42937764260037103
0.6787489089313791,0.5997877346724958,0.4396582628589861
0.2291495729154466,0.5779488103741696,0.4533266636739834
0.2215901425735145,0.5937759405982876,0.39737904750252817
0.3101874139905085,0.5702476639987926,0.4304868326600348
0.22447717440066625,0.573188256898107,0.4300316962338646
0.22996067465634618,0.5580982339635407,0.4619770042323363
0.22219768672352294,0.5546020859591212,0.3898281946876849
0.2186623361168226,0.5892123208140214,0.3878692026081229
0.235372628527867,0.5976183825799192,0.4552268658855381
0.21476478531452695,0.5178080591146744,0.43510022421528505
0.6383906115459674,0.5870035602341741,0.4402612028852848
0.27971312501216267,0.5590996017505178,0.4874454447711157
0.2231770219919133,0.5482483679943772,0.42446985795544506
0.2492497809219173,0.5922599410820572,0.4458615500367169
0.774989618961478,0.5912751017673074,0.44469467335355994
0.2341748508350447,0.5385224223489825,0.4929855796828972
0.22804015309382122,0.5855219454795829,0.4227468014548009
0.23096049369823404,0.5833153367812046,0.42847868026147656
0.2366705877661847,0.5861526783858216,0.4608991332521222
0.2511149962789869,0.576622530405615,0.4605418146966894
0.22912477775191756,0.5480650629665349,0.4426214899169089
0.23846246036975402,0.6150193279750003,0.4226619834550045
0.2287575977422759,0.5840233912169682,0.4373116914677605
0.24614224700992549,0.606027455063745,0.5089934278626537
0.22993369107918973,0.5700340539699507,0.4287223234082493
0.2745643715660627,0.5820601780974023,0.5156557994449275
0.24505927254081614,0.5943979115928925,0.4465951447109456
0.22690109360688585,0.5635727926296313,0.4243065775603097
0.24318305293712783,0.5704741244102404,0.4165633015194065
0.23132527944591721,0.5443189685843783,0.44009400670982857
0.2336282533502686,0.5645633647882088,0.4831935351097012
0.2583364192936837,0.5808819442981727,0.4327816609234375
0.224884188157339,0.5815538411417029,0.3812121642355209
0.22762959687183326,0.5981069800738301,0.4366759970816548
0.220914195615691,0.5937862610105356,0.40037521168100937
0.25229207494277045,0.5479781786432816,0.482429665844302
0.2218397617265454,0.5950561390119795,0.4084483509405025
