window_size_1_RMSE,Plain_w200,Exp_wAll
0.24361565544140049,0.5005213877879764,0.4596901289616096
0.30233174035443044,0.5004342688294386,0.4075676258769267
0.25448443089027345,0.5075914574989951,0.4533022860666311
0.22439598210826198,0.4948704597011828,0.4173819342548412
0.21042128901021237,0.5042250589143231,0.4024324909915288
0.2081658091377102,0.5103623556945814,0.39652205307072297
0.21815323191806166,0.5256951327251409,0.4421174843538389
0.21118041081058017,0.5062746649138701,0.4191834700003938
0.23479927984154692,0.5157784527037035,0.4454090134925581
0.20578248282485093,0.4647855080079368,0.3903003764724719
0.2179242185578901,0.5289514362536643,0.4384449306316469
0.20970887056241622,0.4908290633390664,0.4301950563309712
0.24801472736016258,0.5108290712801727,0.5087267544065289
0.21573144537137698,0.4844401800373272,0.4701311962209408
0.21670779801785653,0.5045763272241731,0.4204795950047304
0.2352744064050082,0.4976257719361715,0.4775989934589854
0.23738658759908454,0.4816950223920359,0.4575846049887234
0.20414236279129583,0.486933560791627,0.3912609549023338
0.24613413018808228,0.5104965644515163,0.47259088737878097
0.24383670774024785,0.498577187258042,0.4647921214229955
0.21232629497804303,0.4865316968499861,0.4578446361152058
0.21595712541203763,0.4913453534870662,0.4679488883720647
0.21997009952448082,0.5100120281091481,0.4457692759536551
0.2079644862166625,0.516542604112091,0.3895985452701684
0.216473737983559,0.5007489589891044,0.4643683761466136
0.21875956880024183,0.5458545964238978,0.4551203926519791
0.33305803371990356,0.5181220734783679,0.4797053244344786
0.2200788818131749,0.5017064004427229,0.4622170211217165
0.2197571043246579,0.490872370047185,0.4845497171756771
0.2635786947686916,0.5001557196793394,0.4648054387902211
0.2209570725638024,0.5056352878999284,0.4709120238001094
0.221126058170621,0.5152607708428875,0.4578009844693173
0.2503404923247544,0.50087057716684,0.4761880645216276
0.21710252114546563,0.4984347041631087,0.4681855483328218
0.3244894196101973,0.5227936376531324,0.4416066722154217
0.21111479953381043,0.5020792808893301,0.4226754393093779
0.21155987865535886,0.5044385870666244,0.4047428981713224
0.21786724116788278,0.4591470114110978,0.4133814212169191
0.22233418315224768,0.4770963165710752,0.4159599319380409
0.2385845054808074,0.5109891690353812,0.4439059246990926
0.2447467154923333,0.5039943534124522,0.4614752266931227
0.21373785457171843,0.4915972964766866,0.43609244518015866
0.21519002116557892,0.5082583094554964,0.43576663564055934
0.4500534533288944,0.5499090932031746,0.4412040660637301
0.20881768558147035,0.5142493467449101,0.4129102483630884
0.3081522534408411,0.5034420133080668,0.4724613385429612
0.2758026534775116,0.5134518973857102,0.45489844147567
0.2118913506608074,0.4857117380520766,0.41897762780951103
0.21594766497721374,0.5115984290377835,0.43656856625517776
0.22456634217115734,0.5040101843812738,0.4792971383120741
0.21031367296399664,0.4916242070456419,0.4357430302227125
0.22020512754254892,0.4955017669983619,0.4909348603277578
0.20984220570140802,0.5019610266509119,0.4155468463805527
0.2536215553730897,0.5235491834713137,0.4868478017264592
0.21021341327686044,0.5054403952125671,0.42835558669317103
0.24135907805709444,0.5122831417285262,0.44430123042290776
0.22120219701326302,0.5006100509331197,0.4864013542071815
0.21401430170711247,0.516789765179049,0.4363371777659086
0.21476828205636062,0.5102178489555008,0.4087156413609307
0.2163390186675401,0.49494338965755896,0.4592514102063214
0.41109028924582847,0.5332105833596055,0.4880835682490631
0.21745465689141127,0.4923272628328729,0.4107395823788719
0.2660734112296331,0.5033241120177123,0.475380508296872
0.2358074033573702,0.5425800650966913,0.4435322797346666
0.22962239472383023,0.5049516657265961,0.4300352551005849
0.26463331319498606,0.5236117727596592,0.4245700513084861
0.22245168476522756,0.5147589528377888,0.4933210425854505
0.2161458719246703,0.4968518086062828,0.4698583562295241
0.9449490284290931,0.4974027135650607,0.4265475244629303
0.21726667775324635,0.5358919089440982,0.4486059234178329
0.2809851728029942,0.501527408122526,0.4380383215530743
0.9776635227750884,0.4931831739175901,0.4425641363786008
0.21428712454127805,0.5110582257257005,0.4183530829246086
0.2750213308623145,0.4764358160887127,0.4456616789228675
0.21751769892393039,0.5046444981901408,0.4643866728037677
0.25557354787925285,0.5269039057688953,0.4298662404824586
0.21497847363640937,0.5167669082870282,0.4350629695053845
0.22150222333039943,0.4972383899374405,0.4752137045670611
0.23456075803511514,0.5216099511742225,0.4314295088992064
0.25066091837639853,0.5071388095719328,0.4689160379172869
0.2193736712937079,0.5051770233184563,0.4466890459393438
0.215884519616156,0.4978667557911337,0.4404972017605778
0.22341820778575894,0.5156257322720602,0.4781206017105981
0.22143835785666957,0.4975095529416948,0.4659789900389474
0.2102352509597506,0.4973943007484874,0.423050282942072
0.24428702538662705,0.5004412835381369,0.4669491515597729
0.21393618523161614,0.5330851879467973,0.42877628617486335
0.20735636570680935,0.5011320847342495,0.3776469599160386
0.2352501556706661,0.4983687390030643,0.4240369164876236
0.2478496946423248,0.5057484934918606,0.4697657927892724
0.20872056092671612,0.4984815534994057,0.4166519108171509
0.24724926171874764,0.5067489844416304,0.4855095129611328
0.25279684647428885,0.4968838760300771,0.4917108443954291
0.24231193878317656,0.4919270715754964,0.3919288872368518
0.22041339113827363,0.4912440698069732,0.4820291994273477
0.21919978094114817,0.5020996289379046,0.4881392186804312
0.264526826909453,0.5137084530863816,0.4372853523808706
0.21022855879472957,0.5107962135705988,0.4048365090521333
0.2089245934089576,0.481596899938687,0.4266651172310164
0.26302744409260725,0.5095405626812458,0.4644193230234597
0.25087828629904435,0.5101445406046835,0.4973139114908083
0.5748939453097445,0.4989099773253247,0.4213440913733052
0.2119151052834524,0.5303594930693414,0.4243845080751057
0.2193232584522568,0.5219199566210015,0.44268443391797146
0.2116519933721324,0.4965925148148838,0.4403146088769823
0.20966047387624406,0.5121166102772744,0.3948125209726632
0.2360125757377596,0.4960177328536643,0.4627527604508601
0.2155089874606904,0.499285762204902,0.4434362013011416
0.21301842506587704,0.5077522939048073,0.4342610711356186
0.21160871605153364,0.4991358684584898,0.4162343132178538
