window_size_1_RMSE,Plain_wAll,Linear_wAll
0.22021395432936644,0.34012219879486777,0.3438372398236917
0.2260396204882303,0.3667606340536501,0.3551033446860295
0.22481937202764202,0.3465083949460615,0.37474633805372015
0.22526624188028452,0.3534200105273497,0.3826212132783728
0.22477958295628025,0.35334014553322496,0.3631823143177352
0.2208003898709618,0.3616882974542131,0.34709401757703423
0.22121415165608685,0.34762871174769144,0.3444462848176553
0.2221198678828414,0.3741099782445516,0.3439447670477898
0.2250424784540564,0.3474143730040759,0.366588577170199
0.2218217597286168,0.34212487257138713,0.3395143038711273
0.22272200797324168,0.3448626759907445,0.35453458487961464
0.22182566740372786,0.38006470632451583,0.33727647851672465
0.22189860150505214,0.3640411719773087,0.3643253212740937
0.22398423211295454,0.3572462888623179,0.35621783359339704
0.22418083681030468,0.33365773396362064,0.3951781455134204
0.2255499131355265,0.3488336378989315,0.3725408331829527
0.22283769035031759,0.3827176597559614,0.383765823605932
0.2274486103227138,0.35504709400622336,0.3494228875918396
0.22699181499676716,0.4152887529009234,0.3684004953085519
0.22567814036668674,0.3947183628145983,0.3281927034561221
0.23197495924323078,0.39448835368720936,0.3651542260988341
0.22886894195810872,0.35542644865325523,0.3587165403256026
0.2331224640994281,0.4311562499634445,0.3744022339953952
0.23189813155299877,0.3811225780285649,0.3500036974581868
0.23167346429415853,0.3866645426782288,0.3654400135061598
0.23020177551524867,0.3978284256281773,0.35123675480246386
0.22986333861298344,0.3719265248231013,0.3785734863050655
0.22680483379009267,0.3604295408560736,0.3375823909456135
0.23284560842370167,0.3879637252559296,0.34189560307135153
0.22806599331056682,0.3394290334954463,0.3563675894522143
0.22723353009931518,0.3823353615380497,0.35618743622701193
0.2301976965417938,0.3934738844936565,0.3715077594173156
0.22969745025043445,0.37248158524801617,0.3462410085427217
0.22773740834491704,0.3691138307338495,0.3773754136839571
0.2287381710624511,0.3783771343174305,0.3525449098422051
0.2260380668136616,0.4028123508841655,0.3738246540605875
0.2283896280867269,0.366673209351948,0.3311929491156468
0.23332726816118815,0.3693505187509467,0.4482721304794372
0.23136829734624662,0.4036997256128264,0.3707596833834713
0.22855331391333636,0.380079556357755,0.3560203435287614
0.23311717950593822,0.4334444290441677,0.3557858828992587
0.2310671686527693,0.36299810140371547,0.3886134801613135
0.2259371802361582,0.3551811633372411,0.3435662587174847
0.23023316867112564,0.3823059838408871,0.35902868600648496
0.22920747808491537,0.3863616579996213,0.3607314681966154
0.2293222874084654,0.3910684989657195,0.3428892719299588
0.22977239280368478,0.4024673726044473,0.4096901897623487
0.22661842472288943,0.3902362211241057,0.3543927704586606
0.23144971107437334,0.3767618482433616,0.3540914883663752
0.23110888696755552,0.3952412432824167,0.3479739214285853
0.23052026919706256,0.40465058575821533,0.3475410344720647
0.2335837023718699,0.4047353521620064,0.3789584802513224
0.23211314177982964,0.40498762163392604,0.3945463594517597
0.23125629521913763,0.3988792754013363,0.3612495923459111
0.23211815443597958,0.3895411909774292,0.3527756214081865
0.23125596566253168,0.4155529651616772,0.3601974106729822
0.23279077638177934,0.4866738783979317,0.3315975919168905
0.2299368373667,0.3758364386013441,0.3625043536544297
0.2273885481365249,0.4069308650455449,0.3667320479103881
0.22930850152549992,0.3997961494983655,0.34215042644059435
0.2311920673956165,0.4017678641900922,0.3740166923673221
0.23126876774200167,0.3868707804468505,0.3800332164526905
0.2294351631897769,0.3992632774076347,0.3713651586012563
0.23305706655004887,0.4391460933620578,0.3473664489452301
0.2280103730636278,0.3881285227218955,0.3752389870816371
0.22996758304204937,0.4306258488271705,0.36869179112957823
0.23126881701674784,0.3943342246032873,0.3449512887143316
0.2297897412985443,0.3714883396773,0.3530355055739445
0.22587510001393693,0.4014778928282704,0.3707048236124686
0.23204249036068933,0.3849846463191959,0.350825415386575
0.23177158382098959,0.4339690652069008,0.3836100308743449
0.23072646132352834,0.4020898751941844,0.3408475922777691
0.22873544576239024,0.377922426478961,0.3678724849404685
0.23195329702388437,0.4034802360655086,0.3596289494689222
0.22951147747689965,0.41383477092460347,0.3911192407848336
0.23403810016643767,0.3972126601483416,0.3659971608810557
0.22853446814425554,0.4971669273125524,0.3836497102111408
0.2283069177305622,0.38487300628226095,0.3672283811539059
0.22621496879595107,0.3781000218491971,0.33002441119108816
