window_size_1_RMSE,Plain_w200,Plain_wAll
0.22905056218053282,0.6148012270606236,0.34012219879486777
0.22825678627618323,0.5925462618713921,0.3667606340536501
0.22897193036820582,0.6328766304729896,0.3465083949460615
0.23026718518465975,0.634982236285639,0.3534200105273497
0.23182533967644717,0.6285594693624663,0.35334014553322496
0.2310513197682402,0.6579797360105983,0.3616882974542131
0.22964893446945617,0.6581749402134585,0.34762871174769144
0.23211730770785327,0.6199869198248721,0.3741099782445516
0.23291734787753113,0.6215044041659574,0.3474143730040759
0.2268801694116607,0.6212794412659302,0.34212487257138713
0.22973485499370022,0.6371473422112355,0.3448626759907445
0.22882867134477333,0.6217616278351376,0.38006470632451583
0.23162527037780392,0.6717557597739306,0.3640411719773087
0.2309956029930297,0.6451016071788334,0.3572462888623179
0.22851471264068837,0.5983768556458775,0.33365773396362064
0.2358812996651013,0.6500604413361982,0.3488336378989315
0.23136901042763072,0.6538468782062234,0.3827176597559614
0.22908326872284632,0.6328220799106272,0.35504709400622336
0.23128139197310008,0.6236039798069672,0.4152887529009234
0.23675086509776544,0.6402126276011849,0.3947183628145983
0.2362128681280319,0.6265938971616606,0.39448835368720936
0.2350340900906742,0.6292002507498492,0.35542644865325523
0.23804020580310153,0.6154266540098063,0.4311562499634445
0.24135067735286894,0.6362190990800507,0.3811225780285649
0.23474660255266874,0.61679308554159,0.3866645426782288
0.23924625708571629,0.6114503043308731,0.3978284256281773
0.24008769865499185,0.6557867995112538,0.3719265248231013
0.23681112478384062,0.6234186182859316,0.3604295408560736
0.23383496828532876,0.6039446240867119,0.3879637252559296
0.2386990013787356,0.6548992355702639,0.3394290334954463
0.23299651648126432,0.6118366297015431,0.3823353615380497
0.23521288641300553,0.6166441576658781,0.3934738844936565
0.23632282033886665,0.6288427431248486,0.37248158524801617
0.23813370914123377,0.64634247253669,0.3691138307338495
0.2351583759419165,0.6005961994020974,0.3783771343174305
0.2325382865931241,0.6336287474554425,0.4028123508841655
0.2375403364959926,0.6509703249605839,0.366673209351948
0.23558313746412313,0.6333771630839355,0.3693505187509467
0.2381387161728647,0.6188363402521179,0.4036997256128264
0.23760309703095214,0.6276555207765622,0.380079556357755
