window_size_1_RMSE,Plain_w200,Exp_wAll
0.2640993854027289,0.6148012270606236,0.5348608394025015
0.26194051794227535,0.5925462618713921,0.5382572839897908
0.2631069076766055,0.6328766304729896,0.5021387737429146
0.26553953459875757,0.634982236285639,0.5416180148712548
0.27139318042089705,0.6285594693624663,0.5663390938116154
0.27204945650885026,0.6579797360105983,0.5491872901297292
0.27536432392692056,0.6581749402134585,0.5813385116108755
0.265816741813263,0.6199869198248721,0.5433483815753881
0.27648064462598415,0.6215044041659574,0.5996494577237284
0.26610585512029733,0.6212794412659302,0.5450961989982998
0.2666304476067246,0.6371473422112355,0.5271181680942071
0.25780287291196646,0.6217616278351376,0.4925193960056474
0.27152095157368084,0.6717557597739306,0.5290909583972045
0.2703704838464161,0.6451016071788334,0.5482708644077542
0.26581768019113655,0.5983768556458775,0.5471474061650462
0.26734652484480764,0.6500604413361982,0.5250720732841313
0.2746096662659653,0.6538468782062234,0.5604293683177007
0.2735093987445449,0.6328220799106272,0.5739696025652812
0.2648691357366008,0.6236039798069672,0.5191586149054787
0.2760571578605347,0.6402126276011849,0.5813295194370116
0.2561058057585845,0.6265938971616606,0.4740856824262781
0.26979708951879167,0.6292002507498492,0.5596441899238696
0.2707736057866402,0.6154266540098063,0.5685865584575539
0.2660750137576902,0.6362190990800507,0.532102754729228
0.2660618767331789,0.61679308554159,0.5707412421044046
0.26816823443515975,0.6114503043308731,0.5624410919568446
0.2832136594478629,0.6557867995112538,0.6162816975382823
0.2610021674914937,0.6234186182859316,0.5059241041819188
0.26382064040319336,0.6039446240867119,0.5376367885777673
0.2707089293438224,0.6548992355702639,0.5360667871440954
0.2647787548782109,0.6118366297015431,0.5309947132679183
0.2597184379286405,0.6166441576658781,0.5244608287864784
0.2672903481986193,0.6288427431248486,0.528005132924039
0.2607336425878922,0.64634247253669,0.4795936089493506
0.2687599006082268,0.6005961994020974,0.5747376789189622
0.2654717182676345,0.6336287474554425,0.5075539984646289
0.266869370962181,0.6509703249605839,0.5203297307680175
0.2723856266923388,0.6333771630839355,0.5734836269149111
0.26780120954193826,0.6188363402521179,0.5556319089949157
0.2687714769099588,0.6276555207765622,0.5544714618690514
0.2732426534895192,0.6539457334727236,0.5481685980652137
0.2713648780269753,0.6416114198714999,0.5576463286385143
0.26803881927997175,0.6410008443310596,0.5361375344963792
0.26377863000772367,0.6182951721978825,0.5226302082269574
0.25993172795131425,0.6213617620210606,0.4949291940536276
0.27122561249602956,0.6742097444600451,0.5362545961266154
0.27076755852818324,0.6483426919595899,0.5398759659489506
0.2670941363298051,0.626167833055693,0.5309839576189362
0.26669187813778916,0.6201088963255265,0.544186905915381
0.26390991644466416,0.6016736596977903,0.5576660651621966
0.2676603308266125,0.6086117213548704,0.5758279746134513
0.2680762719725762,0.6197745113105227,0.541607637012858
0.2684720362148316,0.6466347986655926,0.5466412185292132
0.26734703404961707,0.6425181646200501,0.5383311875601376
0.2636174575688308,0.623121934884729,0.504141297115282
0.26416835770989106,0.6118921787283359,0.5475306977465991
0.26496611439814866,0.6720043656465612,0.495394143747985
0.270806247117239,0.6453319711012928,0.5526598463709798
0.26827209441627736,0.6531612294561843,0.5433677970756297
0.2629690529348372,0.6136769296496029,0.5521380576711767
0.2777124851378391,0.6485216095075779,0.5886199037162041
0.2574777288714142,0.6191084725838493,0.5105445995000236
0.2686091764312858,0.6354660255093708,0.547798116784882
