window_size_1_MASE,Plain_w200,Exp_wAll
0.5868238956417631,0.7323456920220199,0.91912761603572
0.5218959068416917,0.7007370592546794,0.784384458050907
0.542762610409363,0.72420348953046,0.7863869825887516
0.5730432585308227,0.6929399211127902,0.7885621706771114
0.583417076736469,0.7349591404096558,0.7869333289965392
0.5845872896266734,0.729747545872346,0.8266211043152891
0.5971438760307546,0.7043630491452403,0.8454493829380315
0.512508508664834,0.6771639057918193,0.7716994130680739
0.6490318061564797,0.7386095163813233,0.9244490575841712
0.5173772430737656,0.6793945732523803,0.7075815658020052
0.46401966171162995,0.6440866562248511,0.622434667479382
0.5614422251036796,0.7225706239508285,0.7250382010920658
0.5226998910936068,0.6859354009478794,0.6950753719112476
0.6318188560495622,0.7246434698822773,0.9223733487039576
0.564201283600039,0.6985972855979162,0.8732261460587578
0.5034665850476013,0.6832240881172897,0.6508848037767665
0.48508554644298124,0.6572112352589815,0.6936805455483794
0.5704943052214924,0.7247020090175156,0.8364288129001791
0.6159829629188782,0.7865856311095317,0.7917219435527089
0.5649349148886362,0.6565719640376849,0.8009383251352227
0.5279365516946436,0.6714611219767047,0.7865776609015219
0.559828301477055,0.7491191977059105,0.7550381244732374
0.526130405969189,0.7036002419538852,0.6962539780798863
0.4829799777753756,0.7353180895337701,0.6297208460923521
0.569035573690484,0.7288142564057428,0.7910349813930556
0.5113257922567174,0.6649627646489491,0.7307651330227312
0.5910727524605722,0.7185408762268295,0.8620860468794254
0.5636036114373044,0.6941986036808321,0.7757396430262381
0.4983810461292461,0.7085614847095597,0.6843102897505584
0.5090138687613126,0.6473209008707121,0.7243762410768285
0.4828384067432951,0.6534822426880526,0.6449675990548772
0.48470322372407376,0.6791509968361599,0.7403115392399553
0.5296120497348784,0.691714527906359,0.7373402916193118
0.6914528534947009,0.758817925328061,0.9196313426514356
0.6300035458158011,0.7661188565624422,0.8866020172090943
0.5554427609979875,0.7351614780275527,0.7697713002427129
0.5448400958468593,0.6842108634821318,0.794669407910266
0.5752799047612468,0.7165236818186497,0.8654844516062038
0.5625829217072884,0.7311787598635759,0.7419597201958672
0.5418745742796285,0.6714203824749945,0.7872461683401761
0.541541896348875,0.7554904296627879,0.6913423775206746
0.5364609087033227,0.6648668998570777,0.7144842810602181
0.452010175120263,0.6321531611551143,0.5963547461940749
0.5273786015317066,0.6374163259735498,0.730322072552759
0.5146379828447756,0.7049386855230872,0.6708592285063618
0.5645664186215118,0.6948888348484092,0.8760134229291441
0.5784398144044257,0.6816830670482679,0.8059294128078254
0.5619860464006554,0.7095598508684321,0.9161913850164738
0.5940251492507983,0.735499875357869,0.8514087984825658
0.6420241284360884,0.7412795578730774,0.89677749625993
0.4879108108476331,0.6625636187218145,0.7366703577950259
0.530745883136835,0.6729875519583082,0.6962163736099133
0.49576123986277487,0.6830558979709036,0.7599971411662183
0.5451592023909397,0.6637800704302402,0.788771534061722
0.5696453126970676,0.7220130889576494,0.8025258315035115
0.5949153945166971,0.7487831763314396,0.8162369108300269
0.5127121848851806,0.6980563560992075,0.7086114259732886
0.5689511328434382,0.7000977556102421,0.8603557288460065
0.4927246410073059,0.6776925088393954,0.6416448059567098
0.5471152861890264,0.7520519039758572,0.7597548201571455
0.617508094243705,0.7243512040938369,0.8493918394918222
0.5527372867186153,0.6778391037901302,0.8237303111104126
0.5648656240631359,0.7386292747697104,0.8154981487680323
0.5801971840600476,0.7114471690382246,0.8852697830145329
0.5092214190474535,0.6969177934968025,0.6956443053353315
0.5591365121098371,0.7039005996234029,0.828174942334554
0.614653878165822,0.7333914161793147,0.8178535155727367
0.5794601258463622,0.7098671180001402,0.8127997379746688
0.5515816307860283,0.6970347462229256,0.7778928013099525
0.5117826410375933,0.6963325232545573,0.7144443286067207
0.5287404838904685,0.7322215274486598,0.7283314278882626
0.5558199225910863,0.7117708021971895,0.7315510134659349
0.5236535779305777,0.6847115034211702,0.7561001245203124
0.5273129977375466,0.693130654739007,0.7173220634794921
0.5612583787255747,0.7211922388858478,0.7852570193083264
0.5720304975547507,0.6726802727176119,0.83612547860746
0.5603556676404575,0.7151505141583336,0.7468606873952317
0.5184803283560168,0.7111920736396432,0.7374737867221809
0.5141024894859111,0.6957799432131718,0.6828105425176848
0.5798952890658765,0.7181920739120352,0.7561681405959986
0.5586608487016325,0.7025300735575641,0.7757862921179425
0.5934044227849918,0.7458531397177265,0.7623316938279733
0.5128241438247939,0.6842663214140449,0.6592148834096071
0.5704827846472957,0.7391686605991371,0.74145985782859
0.600169386042198,0.7424561180512452,0.8123827591311519
0.5055387156216123,0.7076157367737352,0.6849839034284433
0.5342972906706446,0.690449357880252,0.7284808164022187
0.5465314931820672,0.7120334442832451,0.7264255224714569
0.4625164093076438,0.6666185280643986,0.6869534176445562
0.6225706348565336,0.7447264843084019,0.8183839174123001
0.5546698396788172,0.6905387834088645,0.7508289225563243
0.5301971807557666,0.7017584140412855,0.791425952661799
0.518293203961645,0.7027363340887745,0.7438516858155181
0.5551871541864469,0.6877181653587193,0.7756186656174863
0.5667731678555504,0.7278298385111447,0.8493619636013512
0.556413003300013,0.7269061006664614,0.7033858093945881
0.5277194590594191,0.6729214585737832,0.7205083603217126
0.4738978507208046,0.6790681111503251,0.6339272419044698
0.530140587962803,0.6987448954097677,0.7538340879914397
0.5545687280950519,0.7063132213053565,0.7340680010093484
0.5877793039593793,0.6947406713128589,0.8118358747661696
0.5695586724906686,0.7271766903448653,0.8224958084647824
0.5641429630547521,0.7151487510327651,0.7545726354485442
0.5219897695968818,0.6383160099866275,0.6991511857783358
0.5354416545088848,0.6983383648142748,0.7245041414137252
0.6081682628029935,0.7266723542641234,0.8487192649015171
0.5409490143684758,0.69763399059273,0.7812027000488807
0.5218397684847611,0.6645698841660754,0.7130705873803938
0.5142226773065431,0.6741623192154975,0.7382940835778778
0.6006646807136798,0.7191291048546843,0.8531895827951747
0.6023322410336805,0.7124157320310489,0.7987014344194274
0.5991867980748927,0.7138534298203306,0.844472252824762
0.5492788679674352,0.7020305365239693,0.7804092539126118
0.5658228218515136,0.665134810053141,0.8500486486230195
0.5194061559342829,0.6868972813552671,0.7457245121180159
0.5394583002716985,0.7077522691831376,0.7478096375953363
0.5413790512319941,0.6747495690435856,0.7323006237381918
0.5348121631909387,0.6914591362169138,0.7102139120130184
0.5629243406495821,0.7030161164867752,0.7571943539687271
0.53070284591773,0.7209335305694924,0.6759810612417464
