window_size_1_MASE,Exp_w200,Linear_w200
0.6496090983340522,0.7741981211074888,0.7444153950326182
0.5576579419253995,0.8040284114537488,0.6841663618264175
0.6170907385933918,0.8437054254118714,0.7297993130051756
0.5925403595264226,0.7934691101753332,0.7285926059325623
0.6137297303703909,0.775881525484208,0.7087646869868118
0.6003533894909272,0.7429313488608118,0.6990874381116552
0.6239191683311733,0.8937252087705904,0.6635531983886458
0.512044405139352,0.7649696839542967,0.6508683545614872
0.6615229602703678,0.8914149205124617,0.7364934939025258
0.5699842619314665,0.7558598445342632,0.6634404128016342
0.5176954256520871,0.6765675092479448,0.6301609522798582
0.6119081643729047,0.791758613569985,0.7268750684969137
0.5435356047683841,0.7083852381188395,0.7071701871451187
0.6074097617903189,0.8003982228309995,0.7282987771034548
0.5976089073241746,0.8414099266424659,0.7059447413729772
0.5314847661555644,0.6825911982297364,0.676959820217148
0.5275325944767095,0.6980770692985123,0.6338461702483101
0.6775719056916276,0.8087795683560965,0.7154737255917223
0.650877996364347,0.7708129647111522,0.7648382343205149
0.5865001212855431,0.8276960176494138,0.6564480661299218
0.5933913007799404,0.7238298519229063,0.7045229607144101
0.585399115311397,0.7499453794876572,0.7126828975218779
0.5566909989946781,0.6733536593354826,0.6729863579643791
0.5116192540135752,0.6608969377537014,0.6708355076384218
0.6126525961737482,0.8166841801323139,0.6944636036218821
0.5333096818294445,0.7074239754957449,0.6656894904712638
0.6634587983945057,0.8812233079434689,0.7266375186638709
0.6158044012467466,0.7829698369431065,0.7310275810717748
0.6118997942989259,0.7824062217887574,0.7195848012452708
0.5428483444109307,0.7327749507865225,0.6466188135172399
0.49967961865750155,0.6894569013693679,0.6760164717722523
0.5256229504120022,0.7393053179901752,0.6768664094550908
0.5808212681609305,0.8056364153135809,0.6828699747573307
0.7101949845315579,0.8619814919000001,0.7519147437513121
0.6206035288491255,0.7836682089559757,0.7277715538851416
0.559337376999517,0.7076032003249173,0.6845525476901435
0.5967761373808923,0.7823236000728722,0.6746745129154078
0.5974750785777262,0.8489180922741748,0.6955352304425761
0.5796828535618788,0.735962380236119,0.7181321978573477
0.6125205162913567,0.7724764332162468,0.7191623694180785
0.543446031372647,0.6979707741447629,0.7358658176548977
0.5342081837600056,0.7003996691325229,0.6672353693202879
0.5080030224397483,0.6806200676141692,0.6354310587588418
0.5699960763669182,0.7629316754042292,0.6511957077187489
0.5467032089940396,0.7061368502332812,0.6640925944595371
0.631802620175528,0.8604829497636282,0.6906078967161706
0.6091847752731142,0.8168307494869426,0.7150384888308752
0.6385064958536647,0.8878250827676492,0.7289078626477472
0.6068686093209955,0.9038050123732156,0.7023743165980123
0.6483619301607161,0.8361426392188662,0.7588436639451268
0.5158313376063058,0.6700685280936122,0.6461715485662242
0.5328239379107803,0.6876293804980314,0.6738799861564754
0.5460712456749727,0.7641685378000135,0.6779990585827046
0.5304619807882845,0.7362771904342453,0.641594457738111
0.6331455095287383,0.7855739647626061,0.6960950146247066
0.6269457946817707,0.8057489210303395,0.7297706811944145
0.5614347825452435,0.7840756229771894,0.7400174792739156
0.6532973224432993,0.8738806419202271,0.6803392330669351
0.5322923324102576,0.7017201693433204,0.6616441146353591
0.5947120190734849,0.7269470542132052,0.7068387537838341
0.6845276387331842,0.8485464278054746,0.7409976378654419
0.5805430392749483,0.781156571124719,0.7040575429782931
0.5461611875921162,0.716906387157058,0.6987044274635061
0.5846983158868853,0.7537909147100463,0.7046863024696887
0.5727540629278574,0.7227499624501216,0.6991647367662085
0.6102618901236234,0.7769988639062752,0.6682495968311496
0.6371932365059054,0.8504540956532294,0.7615404570651257
0.573649215775642,0.7453820594902956,0.6943254816629815
0.5473157793987897,0.733407920457129,0.6869025348714799
0.6128433256289397,0.7957249931281721,0.6813797459696831
0.584448115778535,0.7280038975531626,0.7208378803878481
0.5862731244091475,0.7522123284882791,0.6876677877425378
0.5859495720253843,0.8458053885714649,0.6698384460338832
0.5184737055215313,0.6716006223452868,0.6633251329053471
0.5388341749413864,0.7498660064098404,0.7051464428393932
0.602077981566309,0.8254095480589047,0.7032690588850798
0.5599747171716052,0.7367613504638274,0.6841192674429841
0.5473770102296867,0.6843773536831406,0.6705659616670814
0.5733707156038451,0.7623458611899433,0.6920506907160358
0.5928017583707577,0.7568658480822252,0.7108262109276705
0.6701660972256656,0.8559076002530938,0.7070247168674012
